Item_Identifier,Item_Identifier_group,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Visibility_avg,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Years of Operation,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDV20,Food,20.2,Regular,0.059790095,0.906559132,Fruits and Vegetables,127.4678,OUT035,2004,9,Small,Tier 2,Supermarket Type1,3560.6984
FDT15,Food,12.15,Regular,0.071440118,1.083201011,Meat,182.295,OUT010,1998,15,Medium,Tier 3,Grocery Store,549.285
DRI25,Drinks,19.6,Low Fat,0.03395415,0.514825152,Soft Drinks,56.4614,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,773.6596
FDA40,Food,16,Regular,0.099271209,1.50518612,Frozen Foods,88.5856,OUT046,1997,16,Small,Tier 1,Supermarket Type1,878.856
FDZ15,Food,12.79,Low Fat,0.020769677,0.314917385,Dairy,117.5782,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,2741.0986
FDM13,Food,6.425,Low Fat,0.06316338,0.957706104,Breakfast,132.2626,OUT035,2004,9,Small,Tier 2,Supermarket Type1,2098.6016
NCM05,Non-Consumable,6.825,Non-Edible,0.059846975,0.907421567,Health and Hygiene,262.5226,OUT046,1997,16,Small,Tier 1,Supermarket Type1,9779.9362
FDD38,Food,12.79,Regular,0.014342659,0.217468604,Canned,103.7674,OUT019,1985,28,Small,Tier 1,Grocery Store,203.7348
DRI01,Drinks,7.97,Low Fat,0.057667173,0.874370618,Soft Drinks,172.1422,OUT010,1998,15,Medium,Tier 3,Grocery Store,517.3266
DRG13,Drinks,17.25,Low Fat,0.037155206,0.563360726,Soft Drinks,166.4526,OUT013,1987,26,High,Tier 3,Supermarket Type1,3782.4098
NCT30,Non-Consumable,9.1,Non-Edible,0.080417724,1.219322734,Household,48.8718,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,425.4462
NCG42,Non-Consumable,19.2,Non-Edible,0.041227831,0.625111345,Household,129.831,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1947.465
FDB14,Food,12.79,Regular,0.102226474,1.549994921,Canned,91.312,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,3075.996
FDO27,Food,12.79,Regular,0.178210285,2.702089055,Meat,95.7752,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,3930.8832
FDC14,Food,14.5,Regular,0.06904249,1.046847305,Canned,41.4454,OUT010,1998,15,Medium,Tier 3,Grocery Store,41.9454
FDB49,Food,12.79,Regular,0.052791124,0.800438192,Baking Goods,98.5384,OUT019,1985,28,Small,Tier 1,Grocery Store,591.2304
FDZ23,Food,17.75,Regular,0.067607749,1.025093241,Baking Goods,188.024,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,2796.36
FDJ52,Food,7.145,Low Fat,0.017887474,0.271216376,Frozen Foods,160.6578,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,1765.0358
FDJ56,Food,8.985,Low Fat,0.184440421,2.79655264,Fruits and Vegetables,99.67,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,3295.71
NCR54,Non-Consumable,16.35,Non-Edible,0.091074449,1.380903868,Household,196.811,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,3338.987
DRF01,Drinks,5.655,Low Fat,0.06595278,1,Soft Drinks,147.5102,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1166.4816
DRK12,Drinks,9.5,Low Fat,0.041951439,0.636082952,Soft Drinks,32.49,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,865.54
FDL58,Food,5.78,Regular,0.074087369,1.123339592,Snack Foods,264.9568,OUT013,1987,26,High,Tier 3,Supermarket Type1,6855.0768
FDD44,Food,8.05,Regular,0.06595278,1,Fruits and Vegetables,257.5646,OUT013,1987,26,High,Tier 3,Supermarket Type1,5153.292
FDT50,Food,6.75,Regular,0.108679906,1.6478442,Dairy,95.6752,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,1246.3776
DRM23,Drinks,16.6,Low Fat,0.136500981,2.069677442,Hard Drinks,173.3422,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,4138.6128
NCM31,Non-Consumable,6.095,Non-Edible,0.081361288,1.233629394,Others,141.9154,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,2694.4926
FDY21,Food,15.1,Low Fat,0.06595278,1,Snack Foods,197.211,OUT010,1998,15,Medium,Tier 3,Grocery Store,196.411
FDR22,Food,19.35,Regular,0.018591464,0.281890528,Snack Foods,112.9544,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,1342.2528
NCV06,Non-Consumable,11.3,Non-Edible,0.066952965,1.015165168,Household,192.0478,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,3099.9648
FDR45,Food,10.8,Low Fat,0.029107004,0.441330964,Snack Foods,240.5222,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,4541.4218
FDH60,Food,19.7,Regular,0.06595278,1,Baking Goods,194.411,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,5106.686
FDR08,Food,12.79,Low Fat,0.065872936,0.998789376,Fruits and Vegetables,113.1886,OUT019,1985,28,Small,Tier 1,Grocery Store,111.1886
FDA47,Food,10.5,Regular,0.117149075,1.776256816,Baking Goods,164.121,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,1794.331
FDS37,Food,7.655,Low Fat,0.031994534,0.485112743,Canned,114.3492,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,1853.5872
FDF12,Food,8.235,Low Fat,0.08276363,1.254892212,Baking Goods,146.5076,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,1625.8836
FDP24,Food,20.6,Low Fat,0.083004078,1.258537972,Baking Goods,119.4756,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1090.5804
FDU20,Food,19.35,Regular,0.021490911,0.325852997,Fruits and Vegetables,122.1098,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,2892.2352
FDW44,Food,9.5,Regular,0.058835928,0.892091706,Fruits and Vegetables,170.2448,OUT010,1998,15,Medium,Tier 3,Grocery Store,170.4448
FDY39,Food,5.305,Regular,0.07871639,1.19352649,Meat,183.5608,OUT010,1998,15,Medium,Tier 3,Grocery Store,551.2824
DRD37,Drinks,9.8,Low Fat,0.013869809,0.210299081,Soft Drinks,47.406,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,978.726
FDZ35,Food,9.6,Regular,0.022274264,0.337730479,Breads,101.699,OUT035,2004,9,Small,Tier 2,Supermarket Type1,2992.771
FDB50,Food,13,Low Fat,0.153618566,2.329220482,Canned,79.6986,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1480.0734
FDY10,Food,17.6,Low Fat,0.049267759,0.747015653,Snack Foods,113.0176,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,2862.94
FDK41,Food,14.3,Low Fat,0.12826315,1.944772457,Frozen Foods,83.4224,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,681.7792
FDL24,Food,10.3,Regular,0.02494708,0.378256686,Baking Goods,172.3422,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,5690.5926
FDZ07,Food,15.1,Regular,0.157154813,2.382838343,Fruits and Vegetables,62.2194,OUT010,1998,15,Medium,Tier 3,Grocery Store,185.7582
DRI03,Drinks,6.03,Low Fat,0.022832115,0.346188819,Dairy,176.7028,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,1416.8224
FDW56,Food,7.68,Low Fat,0.070900282,1.075015822,Fruits and Vegetables,192.6162,OUT046,1997,16,Small,Tier 1,Supermarket Type1,5580.0698
FDR20,Food,20,Regular,0.028180789,0.427287356,Fruits and Vegetables,46.8744,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,905.488
FDC50,Food,15.85,Low Fat,0.136497913,2.069630924,Canned,96.3094,OUT046,1997,16,Small,Tier 1,Supermarket Type1,2856.282
NCX05,Non-Consumable,15.2,Non-Edible,0.162462044,2.463308506,Health and Hygiene,117.6492,OUT010,1998,15,Medium,Tier 3,Grocery Store,347.5476
FDU23,Food,12.15,Low Fat,0.06595278,1,Breads,164.7184,OUT046,1997,16,Small,Tier 1,Supermarket Type1,3962.8416
FDN45,Food,19.35,Low Fat,0.118080437,1.790378465,Snack Foods,222.6088,OUT035,2004,9,Small,Tier 2,Supermarket Type1,6040.1376
FDQ51,Food,12.79,Regular,0.017466284,0.264830141,Meat,45.4718,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,1323.6104
FDH21,Food,12.79,Low Fat,0.031073804,0.4711523,Seafood,157.5604,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,5704.5744
DRZ11,Drinks,8.85,Regular,0.113302223,1.717929449,Soft Drinks,125.1388,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,1114.5492
NCI43,Non-Consumable,19.85,Non-Edible,0.025968706,0.39374695,Household,49.5376,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1006.6896
DRF03,Drinks,19.1,Low Fat,0.045400017,0.688371544,Dairy,38.8138,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,690.4346
NCF30,Non-Consumable,17,Non-Edible,0.126958147,1.924985528,Household,125.8362,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,2516.724
FDB12,Food,11.15,Regular,0.105307659,1.596712966,Baking Goods,102.0648,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1038.648
FDW19,Food,12.35,Regular,0.038500421,0.583757364,Fruits and Vegetables,110.757,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1208.427
FDB45,Food,20.85,Low Fat,0.02137305,0.324065945,Fruits and Vegetables,103.3306,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,522.653
FDY55,Food,12.79,Low Fat,0.06595278,1,Fruits and Vegetables,255.7988,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,9251.9568
FDK40,Food,7.035,Low Fat,0.06595278,1,Frozen Foods,263.291,OUT010,1998,15,Medium,Tier 3,Grocery Store,525.982
FDU11,Food,4.785,Low Fat,0.09297084,1.409657637,Breads,122.0098,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,2048.6666
FDP33,Food,12.79,Low Fat,0.088839949,1.347023567,Snack Foods,254.2672,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,10993.6896
FDN49,Food,17.25,Regular,0.209600084,3.178032586,Breakfast,40.348,OUT010,1998,15,Medium,Tier 3,Grocery Store,39.948
FDR15,Food,9.3,Regular,0.033505804,0.508027167,Meat,153.4314,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,2482.1024
FDO38,Food,17.25,Low Fat,0.072986772,1.106651941,Canned,78.8986,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,1635.8706
DRC24,Drinks,17.85,Low Fat,0.024961677,0.378478011,Soft Drinks,153.1998,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,3383.5956
NCU17,Non-Consumable,12.79,Non-Edible,0.092433518,1.401510566,Health and Hygiene,101.6674,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,1426.1436
FDK22,Food,9.8,Low Fat,0.026081567,0.39545819,Snack Foods,217.585,OUT035,2004,9,Small,Tier 2,Supermarket Type1,4327.7
DRP35,Drinks,18.85,Low Fat,0.09079168,1.376616422,Hard Drinks,127.1336,OUT013,1987,26,High,Tier 3,Supermarket Type1,3579.3408
NCL29,Non-Consumable,9.695,Non-Edible,0.113917889,1.7272644,Health and Hygiene,158.2604,OUT035,2004,9,Small,Tier 2,Supermarket Type1,2693.8268
FDG53,Food,10,Low Fat,0.045928229,0.696380486,Frozen Foods,138.118,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,1957.452
DRM23,Drinks,16.6,Low Fat,0.135620265,2.056323706,Hard Drinks,172.9422,OUT013,1987,26,High,Tier 3,Supermarket Type1,2931.5174
FDR09,Food,18.25,Low Fat,0.077709902,1.178265753,Snack Foods,259.6962,OUT035,2004,9,Small,Tier 2,Supermarket Type1,5438.9202
NCJ30,Non-Consumable,5.82,Non-Edible,0.134975628,2.046549486,Household,170.579,OUT010,1998,15,Medium,Tier 3,Grocery Store,509.337
FDZ04,Food,9.31,Low Fat,0.037955094,0.575488918,Frozen Foods,62.151,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1201.769
FDM10,Food,18.25,Low Fat,0.076125668,1.154245022,Snack Foods,214.0218,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,2564.6616
FDR21,Food,19.7,Low Fat,0.067039526,1.016477637,Snack Foods,178.337,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,1411.496
DRJ49,Drinks,6.865,Low Fat,0.014021626,0.212600985,Soft Drinks,127.1652,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,1291.652
FDJ15,Food,11.35,Regular,0.023358738,0.354173668,Dairy,184.4608,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,4042.7376
FDO34,Food,17.7,Low Fat,0.029933275,0.453859185,Snack Foods,169.0816,OUT035,2004,9,Small,Tier 2,Supermarket Type1,5201.2296
NCG30,Non-Consumable,12.79,Non-Edible,0.111777297,1.694807967,Household,124.6046,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,2863.6058
FDS60,Food,20.85,Low Fat,0.032448523,0.491996289,Baking Goods,177.866,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1078.596
FDX57,Food,17.25,Regular,0.047266211,0.716667455,Snack Foods,97.0068,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1846.9292
FDS40,Food,15.35,Low Fat,0.01404119,0.212897622,Frozen Foods,38.419,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,476.047
FDT08,Food,13.65,Low Fat,0.04917754,0.745647719,Fruits and Vegetables,151.805,OUT013,1987,26,High,Tier 3,Supermarket Type1,2696.49
NCN29,Non-Consumable,15.2,Non-Edible,0.020280476,0.307499942,Health and Hygiene,49.1034,OUT010,1998,15,Medium,Tier 3,Grocery Store,194.4136
FDY27,Food,6.38,Low Fat,0.031962866,0.484632581,Dairy,178.0344,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,535.3032
NCR29,Non-Consumable,12.79,Non-Edible,0.054376275,0.824472827,Health and Hygiene,56.293,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,2546.685
FDZ02,Food,6.905,Regular,0.063850971,0.968131609,Dairy,97.2726,OUT010,1998,15,Medium,Tier 3,Grocery Store,195.7452
FDP40,Food,12.79,Regular,0.060154968,0.912091469,Frozen Foods,110.1544,OUT019,1985,28,Small,Tier 1,Grocery Store,111.8544
FDE11,Food,12.79,Regular,0.134441765,2.038454861,Starchy Foods,183.9924,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,6478.234
DRL35,Drinks,15.7,Low Fat,0.03067808,0.465152189,Hard Drinks,44.777,OUT013,1987,26,High,Tier 3,Supermarket Type1,605.878
FDD56,Food,15.2,Regular,0.103758647,1.573226284,Fruits and Vegetables,177.0054,OUT035,2004,9,Small,Tier 2,Supermarket Type1,2976.7918
FDO39,Food,12.79,Regular,0.136701678,2.072720483,Meat,182.1608,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,5880.3456
FDG32,Food,12.79,Low Fat,0.308145448,4.67221318,Fruits and Vegetables,222.0772,OUT019,1985,28,Small,Tier 1,Grocery Store,889.5088
FDU50,Food,12.79,Regular,0.074806196,1.134238708,Dairy,112.9176,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,3435.528
FDX24,Food,8.355,low fat,0.013926425,0.211157513,Baking Goods,93.0462,OUT035,2004,9,Small,Tier 2,Supermarket Type1,1110.5544
NCN43,Non-Consumable,12.15,Non-Edible,0.006754117,0.102408375,Others,122.173,OUT013,1987,26,High,Tier 3,Supermarket Type1,2586.633
FDK34,Food,13.35,Low Fat,0.06595278,1,Snack Foods,238.7564,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,1906.8512
NCN41,Non-Consumable,17,Non-Edible,0.052209303,0.791616411,Health and Hygiene,122.373,OUT046,1997,16,Small,Tier 1,Supermarket Type1,2586.633
FDW16,Food,17.35,Regular,0.041538713,0.629825051,Frozen Foods,93.1804,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,1378.206
FDP46,Food,12.79,Low Fat,0.13064231,1.980846145,Snack Foods,88.383,OUT019,1985,28,Small,Tier 1,Grocery Store,89.883
NCD07,Non-Consumable,9.1,Non-Edible,0.055382616,0.839731335,Household,115.0518,OUT013,1987,26,High,Tier 3,Supermarket Type1,683.1108
FDG44,Food,6.13,Low Fat,0.06595278,1,Fruits and Vegetables,54.1298,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1348.245
FDC20,Food,12.79,low fat,0.041970938,0.636378603,Fruits and Vegetables,55.4272,OUT019,1985,28,Small,Tier 1,Grocery Store,111.8544
FDB23,Food,19.2,Regular,0.005583951,0.084665893,Starchy Foods,226.9062,OUT013,1987,26,High,Tier 3,Supermarket Type1,4514.124
DRK59,Drinks,8.895,Low Fat,0.075757177,1.148657828,Hard Drinks,233.8616,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,937.4464
FDT31,Food,19.75,Low Fat,0.012467648,0.189039006,Fruits and Vegetables,188.1872,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,2458.1336
FDB15,Food,10.895,Low Fat,0.137368051,2.082824272,Dairy,264.3568,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,4745.8224
FDI56,Food,12.79,Low Fat,0.092933158,1.409086289,Fruits and Vegetables,91.0146,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,3466.1548
NCQ17,Non-Consumable,10.3,Non-Edible,0.117593973,1.783002521,Health and Hygiene,154.463,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,2503.408
FDH44,Food,19.1,Regular,0.026018497,0.3945019,Fruits and Vegetables,148.2418,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,3089.9778
FDP40,Food,4.555,Regular,0.034410585,0.521745785,Frozen Foods,111.3544,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,1342.2528
NCR17,Non-Consumable,12.79,Non-Edible,0.02426524,0.36791838,Health and Hygiene,114.0492,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,3938.8728
NCO53,Non-Consumable,16.2,Non-Edible,0.176175402,2.67123542,Health and Hygiene,184.0608,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,2021.3688
FDG38,Food,8.975,Regular,0.088257771,1.338196373,Canned,84.1224,OUT010,1998,15,Medium,Tier 3,Grocery Store,170.4448
FDO01,Food,21.1,Regular,0.020750867,0.314632181,Breakfast,128.7994,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,1927.491
NCQ43,Non-Consumable,17.75,Non-Edible,0.111527348,1.69101815,Others,110.2912,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,873.5296
FDU47,Food,12.8,Regular,0.114318263,1.733335016,Breads,142.2838,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,421.4514
FDZ02,Food,6.905,Regular,0.038363204,0.58167683,Dairy,98.1726,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,587.2356
FDS04,Food,10.195,Regular,0.245483691,3.722112866,Frozen Foods,141.8838,OUT010,1998,15,Medium,Tier 3,Grocery Store,280.9676
FDQ31,Food,5.785,Regular,0.053930934,0.817720405,Fruits and Vegetables,87.3856,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,878.856
FDT57,Food,12.79,Low Fat,0.018942606,0.287214671,Snack Foods,236.0248,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,6636.6944
FDK50,Food,7.96,Low Fat,0.028339599,0.429695291,Canned,162.4894,OUT013,1987,26,High,Tier 3,Supermarket Type1,1779.6834
FDB49,Food,8.3,Regular,0.030151351,0.457165733,Baking Goods,98.7384,OUT046,1997,16,Small,Tier 1,Supermarket Type1,492.692
FDN56,Food,5.46,Regular,0.107274301,1.626531907,Fruits and Vegetables,145.5786,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,3900.9222
FDU02,Food,13.35,Low Fat,0.102670882,1.556733196,Dairy,228.6352,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,3435.528
FDK26,Food,5.46,Regular,0.032177405,0.487885499,Canned,185.424,OUT046,1997,16,Small,Tier 1,Supermarket Type1,5219.872
DRA24,Drinks,12.79,Regular,0.039734882,0.60247471,Soft Drinks,165.7868,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,4913.604
FDF53,Food,20.75,Regular,0.083536989,1.266618162,Frozen Foods,180.3318,OUT013,1987,26,High,Tier 3,Supermarket Type1,4149.9314
NCZ30,Non-Consumable,6.59,Non-Edible,0.026225693,0.397643481,Household,119.0098,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,2530.7058
FDF14,Food,7.55,Low Fat,0.0273235,0.414288829,Canned,151.934,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,1837.608
FDU40,Food,20.85,Low Fat,0.03747983,0.568282793,Frozen Foods,192.7478,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,2131.2258
NCL18,Non-Consumable,18.85,Non-Edible,0.168531813,2.555340548,Household,192.5136,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,2916.204
FDP25,Food,15.2,Low Fat,0.021293909,0.322865981,Canned,218.4824,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,1528.6768
NCV05,Non-Consumable,10.1,Non-Edible,0.030269774,0.458961305,Health and Hygiene,152.4656,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,2934.8464
FDV49,Food,10,Low Fat,0.025822315,0.391527317,Canned,262.7226,OUT035,2004,9,Small,Tier 2,Supermarket Type1,3171.8712
FDJ56,Food,8.985,Low Fat,0.183688161,2.7851466,Fruits and Vegetables,100.27,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,998.7
FDI40,Food,11.5,Regular,0.125579201,1.904077448,Frozen Foods,99.7358,OUT035,2004,9,Small,Tier 2,Supermarket Type1,1105.8938
NCK05,Non-Consumable,12.79,Non-Edible,0.077079177,1.168702472,Health and Hygiene,61.5536,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,918.804
NCI43,Non-Consumable,19.85,Non-Edible,0.026074491,0.395350901,Household,48.6376,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,575.2512
NCE42,Non-Consumable,21.1,Non-Edible,0.010593469,0.160622024,Household,234.2958,OUT013,1987,26,High,Tier 3,Supermarket Type1,3739.1328
FDP40,Food,4.555,Regular,0.034357169,0.520935873,Frozen Foods,112.6544,OUT046,1997,16,Small,Tier 1,Supermarket Type1,2684.5056
FDU40,Food,20.85,Low Fat,0.037396901,0.567025393,Frozen Foods,193.8478,OUT035,2004,9,Small,Tier 2,Supermarket Type1,2712.4692
DRK47,Drinks,7.905,Low Fat,0.064011067,0.970559042,Hard Drinks,230.2694,OUT013,1987,26,High,Tier 3,Supermarket Type1,4567.388
FDR32,Food,6.78,Regular,0.085981978,1.303689973,Fruits and Vegetables,228.4694,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,5480.8656
FDS43,Food,12.79,Low Fat,0.040318693,0.611326664,Fruits and Vegetables,186.224,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,5033.448
FDH50,Food,15,Regular,0.161762835,2.452706846,Canned,185.9266,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,2581.9724
FDZ09,Food,17.6,Low Fat,0.104878967,1.590212983,Snack Foods,164.8868,OUT046,1997,16,Small,Tier 1,Supermarket Type1,2456.802
FDS19,Food,13.8,Regular,0.107469819,1.629496422,Fruits and Vegetables,77.8012,OUT010,1998,15,Medium,Tier 3,Grocery Store,227.7036
NCU30,Non-Consumable,5.11,Non-Edible,0.034868095,0.528682718,Household,163.821,OUT035,2004,9,Small,Tier 2,Supermarket Type1,2120.573
FDI27,Food,8.71,Regular,0.046079575,0.698675249,Dairy,43.5744,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,407.4696
FDQ09,Food,7.235,Low Fat,0.058083831,0.880688138,Snack Foods,113.6834,OUT013,1987,26,High,Tier 3,Supermarket Type1,230.3668
FDB35,Food,12.3,Regular,0.064618976,0.979776379,Starchy Foods,89.8804,OUT046,1997,16,Small,Tier 1,Supermarket Type1,1286.3256
DRD12,Drinks,6.96,Low Fat,0.077178965,1.170215494,Soft Drinks,93.1146,OUT035,2004,9,Small,Tier 2,Supermarket Type1,2189.1504
FDW07,Food,18,Regular,0.142910689,2.166863762,Fruits and Vegetables,89.6514,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,1859.5794
DRE13,Drinks,6.28,Low Fat,0.027682047,0.419725249,Soft Drinks,85.5198,OUT013,1987,26,High,Tier 3,Supermarket Type1,1744.396
FDR11,Food,10.5,Regular,0.142511272,2.160807657,Breads,158.7578,OUT035,2004,9,Small,Tier 2,Supermarket Type1,2246.4092
DRG36,Drinks,14.15,low fat,0.09557165,1.449092063,Soft Drinks,171.0106,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,4106.6544
DRD37,Drinks,9.8,Low Fat,0.02316823,0.351285116,Soft Drinks,47.506,OUT010,1998,15,Medium,Tier 3,Grocery Store,186.424
FDX03,Food,15.85,Regular,0.061045133,0.925588474,Meat,44.7744,OUT013,1987,26,High,Tier 3,Supermarket Type1,181.0976
FDU46,Food,10.3,Regular,0.011148865,0.16904314,Snack Foods,84.854,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,778.986
FDV03,Food,17.6,Low Fat,0.058091269,0.880800915,Meat,156.2314,OUT046,1997,16,Small,Tier 1,Supermarket Type1,2947.4966
FDZ37,Food,12.79,Regular,0.019672774,0.298285743,Canned,86.4198,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,1918.8356
FDI24,Food,10.3,Low Fat,0.078678276,1.192948591,Baking Goods,177.037,OUT013,1987,26,High,Tier 3,Supermarket Type1,3705.177
FDX33,Food,9.195,Regular,0.117667492,1.784117243,Snack Foods,159.5578,OUT049,1999,14,Medium,Tier 1,Supermarket Type1,1283.6624
FDG47,Food,12.8,Low Fat,0.069902438,1.059886149,Starchy Foods,261.3252,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,3410.2276
FDZ57,Food,10,Regular,0.037757166,0.572487862,Snack Foods,126.7994,OUT035,2004,9,Small,Tier 2,Supermarket Type1,1284.994
FDT04,Food,17.25,Low Fat,0.107021498,1.622698816,Frozen Foods,40.5822,OUT035,2004,9,Small,Tier 2,Supermarket Type1,785.644
FDO49,Food,12.79,Regular,0.032892112,0.498722146,Breakfast,49.3008,OUT027,1985,28,Medium,Tier 3,Supermarket Type3,1518.024
NCB43,Non-Consumable,20.2,Non-Edible,0.100477461,1.52347575,Household,187.7898,OUT017,2007,6,Medium,Tier 2,Supermarket Type1,2245.0776
NCL53,Non-Consumable,7.5,Non-Edible,0.036228067,0.549303107,Health and Hygiene,175.2028,OUT035,2004,9,Small,Tier 2,Supermarket Type1,4427.57
FDM01,Food,7.895,Regular,0.094488485,1.432668721,Breakfast,100.7332,OUT013,1987,26,High,Tier 3,Supermarket Type1,1230.3984
FDO12,Food,15.75,Low Fat,0.055154296,0.836269464,Baking Goods,195.5452,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,1174.4712
FDO13,Food,12.79,Low Fat,0.106907604,1.620971914,Breakfast,162.8526,OUT019,1985,28,Small,Tier 1,Grocery Store,493.3578
FDI04,Food,13.65,Regular,0.073060301,1.107766814,Frozen Foods,196.2426,OUT045,2002,11,Medium,Tier 2,Supermarket Type1,2570.6538
NCK05,Non-Consumable,20.1,Non-Edible,0.077439606,1.174167427,Health and Hygiene,60.6536,OUT035,2004,9,Small,Tier 2,Supermarket Type1,980.0576
FDP28,Food,13.65,Regular,0.080968973,1.227680971,Frozen Foods,259.7936,OUT018,2009,4,Medium,Tier 3,Supermarket Type2,2609.936
