"Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","MRP","Outlet_Identifier","Establishment_Age","Outlet_Size","Outlet_Location_Type","Outlet_Type","Sales"
"FDM28",15.7,"LF",0.075661985,"Frozen Foods",181,"OUT010",15,"Small","Tier 3","Grocery Store",180
"FDN22",18.85,"Regular",0.138190277,"Snack Foods",251,"OUT013",26,"High","Tier 3","Supermarket Type1",3775
"FDS04",10.2,"Regular",0.146635206,"Frozen Foods",139,"OUT035",9,"Small","Tier 2","Supermarket Type1",3653
"FDO34",17.7,"LF",0.029933275,"Snack Foods",169,"OUT035",9,"Small","Tier 2","Supermarket Type1",5201
"FDB09",16.25,"LF",0.057629899,"Fruits and Vegetables",124,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1121
"DRY23",9.4,"Regular",0.109096371,"Soft Drinks",45,"OUT046",16,"Small","Tier 1","Supermarket Type1",511
"FDC03",8.58,"Regular",0.072252888,"Dairy",197,"OUT017",6,"Small","Tier 2","Supermarket Type1",5267
"DRF37",17.25,"LF",0.084316691,"Soft Drinks",263,"OUT035",9,"Small","Tier 2","Supermarket Type1",6312
"FDP59",20.85,"Regular",0.056695731,"Breads",104,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1870
"FDY49",17.2,"Regular",0.012002075,"Canned",165,"OUT013",26,"High","Tier 3","Supermarket Type1",991
"DRE60",9.4,"LF",0.159582185,"Soft Drinks",225,"OUT049",14,"Medium","Tier 1","Supermarket Type1",7018
"FDK25",12.6,"Regular",0.156072361,"Breakfast",169,"OUT027",28,"Medium","Tier 3","Supermarket Type3",3874
"FDT24",12.35,"Regular",0,"Baking Goods",76,"OUT046",16,"Small","Tier 1","Supermarket Type1",1545
"FDX36",9.7,"Regular",0.128176489,"Baking Goods",225,"OUT013",26,"High","Tier 3","Supermarket Type1",3601
"FDY28",7.47,"Regular",0.152024355,"Frozen Foods",212,"OUT013",26,"High","Tier 3","Supermarket Type1",1496
"FDK38",6.65,"LF",0.053506996,"Canned",150,"OUT018",4,"Medium","Tier 3","Supermarket Type2",3563
"FDA26",12.6,"Regular",0.073562475,"Dairy",218,"OUT027",28,"Medium","Tier 3","Supermarket Type3",3286
"FDY12",9.8,"Regular",0.14061104,"Baking Goods",50,"OUT046",16,"Small","Tier 1","Supermarket Type1",810
"FDX16",17.85,"LF",0.110152524,"Frozen Foods",150,"OUT010",15,"Small","Tier 3","Grocery Store",150
"FDL14",8.12,"Regular",0.032208865,"Canned",155,"OUT049",14,"Medium","Tier 1","Supermarket Type1",3739
"FDJ26",15.3,"Regular",0.084749164,"Canned",216,"OUT035",9,"Small","Tier 2","Supermarket Type1",4061
"FDP28",13.65,"Regular",0.080765853,"Frozen Foods",263,"OUT049",14,"Medium","Tier 1","Supermarket Type1",4959
"FDS04",10.2,"Regular",0,"Frozen Foods",140,"OUT018",4,"Medium","Tier 3","Supermarket Type2",4495
"FDO50",16.25,"LF",0,"Canned",90,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1654
"DRC01",5.92,"Regular",0.019200003,"Soft Drinks",48,"OUT046",16,"Small","Tier 1","Supermarket Type1",493
"NCU17",5.32,"LF",0.093027718,"Health and Hygiene",101,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2954
"NCL29",9.7,"LF",0.113939434,"Health and Hygiene",160,"OUT046",16,"Small","Tier 1","Supermarket Type1",1902
"FDS45",5.18,"Regular",0.04937018,"Snack Foods",107,"OUT010",15,"Small","Tier 3","Grocery Store",212
"NCK18",9.6,"LF",0.006725388,"Household",166,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2972
"FDR07",21.35,"LF",0.078060605,"Fruits and Vegetables",96,"OUT018",4,"Medium","Tier 3","Supermarket Type2",381
"FDR32",6.78,"Regular",0.085981978,"Fruits and Vegetables",228,"OUT045",11,"Small","Tier 2","Supermarket Type1",5481
"NCL30",18.1,"LF",0.048940428,"Household",128,"OUT046",16,"Small","Tier 1","Supermarket Type1",1790
"FDR52",12.65,"Regular",0.07603021,"Frozen Foods",189,"OUT035",9,"Small","Tier 2","Supermarket Type1",4013
"FDI36",12.5,"Regular",0.062343432,"Baking Goods",200,"OUT046",16,"Small","Tier 1","Supermarket Type1",593
"DRF25",9,"LF",0.03898577,"Soft Drinks",35,"OUT049",14,"Medium","Tier 1","Supermarket Type1",732
"DRM48",12.6,"LF",0.112349962,"Soft Drinks",39,"OUT027",28,"Medium","Tier 3","Supermarket Type3",559
"FDA20",6.78,"LF",0.066997921,"Fruits and Vegetables",187,"OUT017",6,"Small","Tier 2","Supermarket Type1",2610
"FDO40",17.1,"LF",0.032628111,"Frozen Foods",149,"OUT046",16,"Small","Tier 1","Supermarket Type1",1641
"FDU11",4.79,"LF",0.092576144,"Breads",121,"OUT035",9,"Small","Tier 2","Supermarket Type1",2531
"FDS35",9.3,"LF",0.111220521,"Breads",66,"OUT046",16,"Small","Tier 1","Supermarket Type1",969
"DRD12",6.96,"LF",0.077350112,"Soft Drinks",91,"OUT045",11,"Small","Tier 2","Supermarket Type1",639
"NCI18",18.35,"LF",0.014024028,"Household",225,"OUT046",16,"Small","Tier 1","Supermarket Type1",2692
"NCI42",18.75,"LF",0.01040777,"Household",209,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2501
"FDJ09",15,"LF",0.058632705,"Snack Foods",46,"OUT018",4,"Medium","Tier 3","Supermarket Type2",543
"FDP04",15.35,"LF",0.013812772,"Frozen Foods",65,"OUT046",16,"Small","Tier 1","Supermarket Type1",1023
"FDF34",9.3,"Regular",0.014098693,"Snack Foods",198,"OUT017",6,"Small","Tier 2","Supermarket Type1",3373
"FDK03",12.6,"Regular",0.074070351,"Dairy",254,"OUT045",11,"Small","Tier 2","Supermarket Type1",4578
"FDE34",9.2,"LF",0.107870997,"Snack Foods",181,"OUT035",9,"Small","Tier 2","Supermarket Type1",2363
"DRB24",8.79,"LF",0.020573334,"Soft Drinks",156,"OUT035",9,"Small","Tier 2","Supermarket Type1",2163
"DRF27",8.93,"LF",0.028417272,"Dairy",155,"OUT046",16,"Small","Tier 1","Supermarket Type1",2603
"FDW39",12.6,"Regular",0.036731658,"Meat",177,"OUT027",28,"Medium","Tier 3","Supermarket Type3",4764
"NCZ05",8.49,"LF",0.058121214,"Health and Hygiene",104,"OUT035",9,"Small","Tier 2","Supermarket Type1",1238
"NCD30",19.7,"LF",0.026903714,"Household",96,"OUT045",11,"Small","Tier 2","Supermarket Type1",1272
"DRJ24",11.8,"LF",0.11350542,"Soft Drinks",187,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2961
"FDB58",10.5,"Regular",0.013485235,"Snack Foods",140,"OUT013",26,"High","Tier 3","Supermarket Type1",3120
"FDZ49",11,"Regular",0.13341564,"Canned",219,"OUT045",11,"Small","Tier 2","Supermarket Type1",2204
"FDV34",10.7,"Regular",0.011472001,"Snack Foods",75,"OUT018",4,"Medium","Tier 3","Supermarket Type2",517
"FDO28",5.77,"LF",0.072410764,"Frozen Foods",123,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1085
"DRC12",17.85,"LF",0.037885683,"Soft Drinks",190,"OUT049",14,"Medium","Tier 1","Supermarket Type1",952
"FDO28",12.6,"LF",0.071948252,"Frozen Foods",122,"OUT027",28,"Medium","Tier 3","Supermarket Type3",482
"FDY59",8.2,"LF",0.031452265,"Baking Goods",94,"OUT049",14,"Medium","Tier 1","Supermarket Type1",925
"FDG45",8.1,"LF",0.12829573,"Fruits and Vegetables",210,"OUT045",11,"Small","Tier 2","Supermarket Type1",5310
"FDQ11",5.7,"Regular",0.067688124,"Breads",259,"OUT035",9,"Small","Tier 2","Supermarket Type1",5397
"FDZ22",12.6,"LF",0.079261744,"Snack Foods",82,"OUT019",28,"Small","Tier 1","Grocery Store",83
"FDL13",13.85,"Regular",0.056547986,"Breakfast",233,"OUT018",4,"Medium","Tier 3","Supermarket Type2",6292
"FDF21",10.3,"Regular",0.058778429,"Fruits and Vegetables",188,"OUT013",26,"High","Tier 3","Supermarket Type1",2657
"FDJ34",12.6,"Regular",0.093202196,"Snack Foods",126,"OUT027",28,"Medium","Tier 3","Supermarket Type3",1001
"FDF40",12.6,"Regular",0.03941584,"Dairy",248,"OUT019",28,"Small","Tier 1","Grocery Store",498
"NCN53",5.18,"LF",0.030527166,"Health and Hygiene",34,"OUT017",6,"Small","Tier 2","Supermarket Type1",635
"FDB59",18.25,"LF",0.015278899,"Snack Foods",199,"OUT046",16,"Small","Tier 1","Supermarket Type1",3175
"DRC13",8.26,"Regular",0.032435437,"Soft Drinks",125,"OUT035",9,"Small","Tier 2","Supermarket Type1",2956
"FDV39",11.3,"LF",0.007279889,"Meat",199,"OUT046",16,"Small","Tier 1","Supermarket Type1",2373
"DRK35",8.37,"LF",0.071846495,"Hard Drinks",38,"OUT046",16,"Small","Tier 1","Supermarket Type1",569
"NCX41",19,"LF",0.017719277,"Health and Hygiene",211,"OUT046",16,"Small","Tier 1","Supermarket Type1",3811
"DRH36",16.2,"LF",0.033568871,"Soft Drinks",75,"OUT017",6,"Small","Tier 2","Supermarket Type1",2163
"FDX51",9.5,"Regular",0.022058724,"Meat",197,"OUT046",16,"Small","Tier 1","Supermarket Type1",3523
"FDR28",13.85,"Regular",0.026001976,"Frozen Foods",162,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1794
"FDW02",4.81,"Regular",0,"Dairy",124,"OUT045",11,"Small","Tier 2","Supermarket Type1",2253
"FDF47",20.85,"LF",0.097618234,"Starchy Foods",224,"OUT046",16,"Small","Tier 1","Supermarket Type1",897
"FDT12",12.6,"Regular",0.049381406,"Baking Goods",227,"OUT027",28,"Medium","Tier 3","Supermarket Type3",4740
"NCA05",12.6,"LF",0.044000492,"Health and Hygiene",148,"OUT019",28,"Small","Tier 1","Grocery Store",297
"FDS14",7.29,"LF",0.050065211,"Dairy",157,"OUT045",11,"Small","Tier 2","Supermarket Type1",2043
"FDY02",8.95,"Regular",0.087823675,"Dairy",261,"OUT045",11,"Small","Tier 2","Supermarket Type1",3419
"DRN47",12.1,"LF",0.016812745,"Hard Drinks",181,"OUT013",26,"High","Tier 3","Supermarket Type1",4135
"FDE53",10.9,"LF",0.026880159,"Frozen Foods",106,"OUT046",16,"Small","Tier 1","Supermarket Type1",1491
"FDT45",15.85,"LF",0.057546914,"Snack Foods",56,"OUT018",4,"Medium","Tier 3","Supermarket Type2",491
"FDG33",5.37,"Regular",0.140458316,"Seafood",170,"OUT049",14,"Medium","Tier 1","Supermarket Type1",3264
"FDH14",12.6,"Regular",0.081955735,"Canned",142,"OUT019",28,"Small","Tier 1","Grocery Store",281
"FDR55",12.15,"Regular",0.132351411,"Fruits and Vegetables",190,"OUT045",11,"Small","Tier 2","Supermarket Type1",2836
"NCH55",16.35,"LF",0.034813556,"Household",128,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1265
"DRM11",6.57,"LF",0.066069578,"Hard Drinks",261,"OUT046",16,"Small","Tier 1","Supermarket Type1",4165
"NCT17",10.8,"LF",0.041831008,"Health and Hygiene",187,"OUT013",26,"High","Tier 3","Supermarket Type1",2261
"FDO48",15,"Regular",0.02681843,"Baking Goods",220,"OUT013",26,"High","Tier 3","Supermarket Type1",3095
"FDA03",18.5,"Regular",0,"Dairy",144,"OUT035",9,"Small","Tier 2","Supermarket Type1",2041
"NCQ43",17.75,"LF",0.11147467,"Others",108,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1638
"NCJ42",19.75,"LF",0.014359584,"Household",101,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1538
"FDH17",16.2,"Regular",0.016747538,"Frozen Foods",99,"OUT017",6,"Small","Tier 2","Supermarket Type1",1272
"DRE37",13.5,"LF",0.094219593,"Soft Drinks",190,"OUT046",16,"Small","Tier 1","Supermarket Type1",1324
"FDL32",15.7,"Regular",0.122657336,"Fruits and Vegetables",110,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1566
"FDV09",12.1,"LF",0.034427577,"Snack Foods",147,"OUT010",15,"Small","Tier 3","Grocery Store",297
"FDN08",7.72,"Regular",0.088543868,"Fruits and Vegetables",118,"OUT045",11,"Small","Tier 2","Supermarket Type1",825
"NCI54",15.2,"LF",0.033592687,"Household",108,"OUT035",9,"Small","Tier 2","Supermarket Type1",1856
"FDP48",7.52,"Regular",0.044091657,"Baking Goods",183,"OUT049",14,"Medium","Tier 1","Supermarket Type1",3845
"FDF09",12.6,"LF",0.012090074,"Fruits and Vegetables",38,"OUT027",28,"Medium","Tier 3","Supermarket Type3",485
"FDL16",12.85,"LF",0.169139066,"Frozen Foods",46,"OUT018",4,"Medium","Tier 3","Supermarket Type2",186
"FDM25",10.7,"Regular",0.060654268,"Breakfast",175,"OUT035",9,"Small","Tier 2","Supermarket Type1",3340
"FDU01",12.6,"Regular",0.021002171,"Canned",185,"OUT019",28,"Small","Tier 1","Grocery Store",555
"NCL19",15.35,"LF",0.015663185,"Others",144,"OUT013",26,"High","Tier 3","Supermarket Type1",3006
"FDV23",12.6,"LF",0.185306514,"Breads",126,"OUT019",28,"Small","Tier 1","Grocery Store",623
"FDQ46",7.51,"LF",0.104023565,"Snack Foods",112,"OUT045",11,"Small","Tier 2","Supermarket Type1",2013
"FDK09",12.6,"LF",0.160665697,"Snack Foods",228,"OUT019",28,"Small","Tier 1","Grocery Store",916
"FDK43",12.6,"LF",0.046994717,"Meat",126,"OUT019",28,"Small","Tier 1","Grocery Store",253
"FDC28",7.91,"LF",0.055098434,"Frozen Foods",109,"OUT045",11,"Small","Tier 2","Supermarket Type1",977
"FDO20",12.85,"Regular",0.152364317,"Fruits and Vegetables",254,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1262
"NCG18",15.3,"LF",0.02295878,"Household",102,"OUT013",26,"High","Tier 3","Supermarket Type1",1846
"NCA41",16.75,"LF",0.032580547,"Health and Hygiene",192,"OUT035",9,"Small","Tier 2","Supermarket Type1",3848
"FDH12",9.6,"LF",0.085125951,"Baking Goods",107,"OUT045",11,"Small","Tier 2","Supermarket Type1",1278
"FDT31",19.75,"LF",0.01247354,"Fruits and Vegetables",188,"OUT045",11,"Small","Tier 2","Supermarket Type1",1324
"NCM18",13,"LF",0.083009876,"Household",61,"OUT045",11,"Small","Tier 2","Supermarket Type1",2353
"FDM01",7.9,"Regular",0.094567181,"Breakfast",105,"OUT046",16,"Small","Tier 1","Supermarket Type1",1846
"FDT52",9.7,"Regular",0.047503318,"Frozen Foods",245,"OUT049",14,"Medium","Tier 1","Supermarket Type1",3185
"FDT14",12.6,"Regular",0.127108578,"Dairy",121,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2756
"FDJ04",18,"LF",0.124645538,"Frozen Foods",117,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2133
"FDT02",12.6,"LF",0.024331586,"Dairy",35,"OUT017",6,"Small","Tier 2","Supermarket Type1",529
"FDG32",19.85,"LF",0.175849067,"Fruits and Vegetables",222,"OUT013",26,"High","Tier 3","Supermarket Type1",2001
"FDU31",10.5,"Regular",0.02498633,"Fruits and Vegetables",217,"OUT035",9,"Small","Tier 2","Supermarket Type1",3039
"FDM25",10.7,"Regular",0.060615254,"Breakfast",174,"OUT013",26,"High","Tier 3","Supermarket Type1",2461
"NCE31",7.67,"LF",0.185218446,"Household",36,"OUT045",11,"Small","Tier 2","Supermarket Type1",415
"NCP17",12.6,"LF",0.027580163,"Health and Hygiene",62,"OUT027",28,"Medium","Tier 3","Supermarket Type3",1662
"FDN44",13.15,"LF",0.022795611,"Fruits and Vegetables",160,"OUT046",16,"Small","Tier 1","Supermarket Type1",1598
"FDY33",14.5,"Regular",0.097750937,"Snack Foods",160,"OUT017",6,"Small","Tier 2","Supermarket Type1",5729
"FDX14",12.6,"LF",0.13121032,"Dairy",74,"OUT019",28,"Small","Tier 1","Grocery Store",75
"FDI32",12.6,"LF",0.305305397,"Fruits and Vegetables",117,"OUT019",28,"Small","Tier 1","Grocery Store",461
"FDU44",12.15,"Regular",0.058516562,"Fruits and Vegetables",164,"OUT049",14,"Medium","Tier 1","Supermarket Type1",5199
"FDN56",5.46,"Regular",0.107057186,"Fruits and Vegetables",145,"OUT046",16,"Small","Tier 1","Supermarket Type1",2023
"FDW26",11.8,"Regular",0.179191782,"Dairy",224,"OUT010",15,"Small","Tier 3","Grocery Store",667
"DRC25",12.6,"LF",0,"Soft Drinks",87,"OUT027",28,"Medium","Tier 3","Supermarket Type3",1374
"FDD44",8.05,"Regular",0.078522357,"Fruits and Vegetables",257,"OUT049",14,"Medium","Tier 1","Supermarket Type1",6184
"NCH55",12.6,"LF",0.060706749,"Household",128,"OUT019",28,"Small","Tier 1","Grocery Store",380
"FDM51",11.8,"Regular",0.025966531,"Meat",102,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2445
"FDT32",19,"Regular",0.065901299,"Fruits and Vegetables",189,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1696
"FDI22",12.6,"LF",0.095746519,"Snack Foods",209,"OUT027",28,"Medium","Tier 3","Supermarket Type3",7317
"FDC09",15.5,"Regular",0.026355345,"Fruits and Vegetables",101,"OUT045",11,"Small","Tier 2","Supermarket Type1",1538
"FDK26",5.46,"Regular",0.032308482,"Canned",185,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2424
"DRK13",11.8,"LF",0.11507174,"Soft Drinks",198,"OUT013",26,"High","Tier 3","Supermarket Type1",3770
"FDL40",17.7,"LF",0.011660463,"Frozen Foods",97,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2220
"FDP57",17.5,"LF",0.052740763,"Snack Foods",104,"OUT017",6,"Small","Tier 2","Supermarket Type1",1135
"FDG41",8.84,"Regular",0.076873991,"Frozen Foods",110,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1547
"FDX27",20.7,"Regular",0.191008614,"Dairy",93,"OUT010",15,"Small","Tier 3","Grocery Store",189
"FDB58",12.6,"Regular",0.013431109,"Snack Foods",144,"OUT027",28,"Medium","Tier 3","Supermarket Type3",4822
"FDP34",12.6,"LF",0.240268248,"Snack Foods",156,"OUT019",28,"Small","Tier 1","Grocery Store",313
"FDG21",17.35,"Regular",0.146895866,"Seafood",150,"OUT018",4,"Medium","Tier 3","Supermarket Type2",3745
"FDR32",12.6,"Regular",0.150238656,"Fruits and Vegetables",229,"OUT019",28,"Small","Tier 1","Grocery Store",228
"NCH29",5.51,"LF",0.034668802,"Health and Hygiene",99,"OUT017",6,"Small","Tier 2","Supermarket Type1",1762
"FDO31",6.76,"Regular",0.028958563,"Fruits and Vegetables",78,"OUT013",26,"High","Tier 3","Supermarket Type1",1758
"DRO35",13.85,"LF",0.034765901,"Hard Drinks",114,"OUT017",6,"Small","Tier 2","Supermarket Type1",1854
"FDT37",14.15,"LF",0,"Canned",254,"OUT045",11,"Small","Tier 2","Supermarket Type1",5865
"FDW14",8.3,"Regular",0.038367194,"Dairy",87,"OUT018",4,"Medium","Tier 3","Supermarket Type2",959
"FDH24",20.7,"LF",0.021518435,"Baking Goods",158,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1571
"FDE14",13.65,"Regular",0.031494041,"Canned",99,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2197
"NCU41",18.85,"LF",0.0520115,"Health and Hygiene",190,"OUT013",26,"High","Tier 3","Supermarket Type1",3631
"FDT40",12.6,"LF",0.095331433,"Frozen Foods",126,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2543
"FDV01",12.6,"Regular",0,"Canned",155,"OUT027",28,"Medium","Tier 3","Supermarket Type3",6516
"FDV59",13.35,"LF",0.080387424,"Breads",219,"OUT010",15,"Small","Tier 3","Grocery Store",1524
"FDP38",10.1,"LF",0.032283676,"Canned",52,"OUT017",6,"Small","Tier 2","Supermarket Type1",759
"FDF02",16.2,"LF",0.103634038,"Canned",101,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1032
"FDP52",18.7,"Regular",0.070979698,"Frozen Foods",230,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1608
"NCP02",7.11,"LF",0.044991294,"Household",59,"OUT018",4,"Medium","Tier 3","Supermarket Type2",652
"NCU18",15.1,"LF",0.055840055,"Household",140,"OUT046",16,"Small","Tier 1","Supermarket Type1",1411
"FDQ23",12.6,"LF",0.042941559,"Breads",103,"OUT019",28,"Small","Tier 1","Grocery Store",103
"FDY11",6.71,"Regular",0.02960641,"Baking Goods",65,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1516
"FDF53",20.75,"Regular",0.083536989,"Frozen Foods",180,"OUT013",26,"High","Tier 3","Supermarket Type1",4150
"FDX47",6.55,"Regular",0.034604343,"Breads",158,"OUT046",16,"Small","Tier 1","Supermarket Type1",2514
"NCQ41",14.8,"LF",0.019559746,"Health and Hygiene",194,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2926
"FDJ21",16.7,"Regular",0.038528228,"Snack Foods",144,"OUT046",16,"Small","Tier 1","Supermarket Type1",1750
"FDD35",12.15,"LF",0.026010729,"Starchy Foods",119,"OUT017",6,"Small","Tier 2","Supermarket Type1",2157
"NCL29",9.7,"LF",0.113917889,"Health and Hygiene",158,"OUT035",9,"Small","Tier 2","Supermarket Type1",2694
"FDW50",13.1,"LF",0.075885921,"Dairy",165,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1504
"FDX19",19.1,"LF",0.09688421,"Fruits and Vegetables",234,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2337
"NCE19",8.97,"LF",0.092937216,"Household",55,"OUT013",26,"High","Tier 3","Supermarket Type1",764
"FDU51",20.2,"Regular",0.096433359,"Meat",179,"OUT013",26,"High","Tier 3","Supermarket Type1",4605
"FDQ07",15.1,"Regular",0.087406863,"Fruits and Vegetables",222,"OUT046",16,"Small","Tier 1","Supermarket Type1",663
"NCO26",7.24,"LF",0.076841095,"Household",118,"OUT035",9,"Small","Tier 2","Supermarket Type1",1969
"FDR55",12.6,"Regular",0.131443921,"Fruits and Vegetables",189,"OUT027",28,"Medium","Tier 3","Supermarket Type3",5294
"FDS28",8.18,"Regular",0.082568705,"Frozen Foods",56,"OUT045",11,"Small","Tier 2","Supermarket Type1",458
"NCX18",14.15,"LF",0.014719325,"Household",197,"OUT010",15,"Small","Tier 3","Grocery Store",393
"FDL20",17.1,"LF",0.128674983,"Fruits and Vegetables",112,"OUT045",11,"Small","Tier 2","Supermarket Type1",2335
"NCM43",14.5,"LF",0.019554705,"Others",162,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1957
"NCC43",7.39,"LF",0.092705683,"Household",252,"OUT013",26,"High","Tier 3","Supermarket Type1",4267
"FDH56",12.6,"Regular",0.11173569,"Fruits and Vegetables",116,"OUT019",28,"Small","Tier 1","Grocery Store",116
"FDG56",13.3,"Regular",0.071597469,"Fruits and Vegetables",61,"OUT045",11,"Small","Tier 2","Supermarket Type1",919
"NCE54",12.6,"LF",0.026769592,"Household",77,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2332
"NCO42",21.25,"LF",0.024650932,"Household",146,"OUT035",9,"Small","Tier 2","Supermarket Type1",2916
"FDM56",16.7,"LF",0.070133177,"Fruits and Vegetables",110,"OUT013",26,"High","Tier 3","Supermarket Type1",874
"FDQ14",12.6,"LF",0.10818157,"Dairy",150,"OUT019",28,"Small","Tier 1","Grocery Store",449
"FDK38",6.65,"LF",0.053397989,"Canned",149,"OUT045",11,"Small","Tier 2","Supermarket Type1",297
"FDV22",14.85,"Regular",0.009954237,"Snack Foods",158,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2660
"FDC58",10.2,"LF",0.042113173,"Snack Foods",43,"OUT018",4,"Medium","Tier 3","Supermarket Type2",879
"NCV41",14.35,"LF",0.028519419,"Health and Hygiene",109,"OUT010",15,"Small","Tier 3","Grocery Store",221
"NCG43",20.2,"LF",0.074541867,"Household",94,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1758
"FDZ21",17.6,"Regular",0.03922186,"Snack Foods",97,"OUT046",16,"Small","Tier 1","Supermarket Type1",193
"FDY01",11.8,"Regular",0.170251293,"Canned",116,"OUT035",9,"Small","Tier 2","Supermarket Type1",1958
"FDM28",15.7,"LF",0.045274134,"Frozen Foods",178,"OUT049",14,"Medium","Tier 1","Supermarket Type1",3416
"FDW13",8.5,"LF",0.098036903,"Canned",52,"OUT049",14,"Medium","Tier 1","Supermarket Type1",883
"FDW04",8.99,"Regular",0.057944376,"Frozen Foods",132,"OUT045",11,"Small","Tier 2","Supermarket Type1",1428
"FDH20",16.1,"Regular",0.025050746,"Fruits and Vegetables",97,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1448
"FDA01",12.6,"Regular",0.054114924,"Canned",58,"OUT027",28,"Medium","Tier 3","Supermarket Type3",1055
"FDV32",12.6,"LF",0.155316936,"Fruits and Vegetables",64,"OUT019",28,"Small","Tier 1","Grocery Store",316
"FDW24",6.8,"LF",0.037573095,"Baking Goods",50,"OUT045",11,"Small","Tier 2","Supermarket Type1",1166
"FDT36",12.3,"LF",0.111274591,"Baking Goods",35,"OUT046",16,"Small","Tier 1","Supermarket Type1",459
"FDK38",6.65,"LF",0.089196394,"Canned",147,"OUT010",15,"Small","Tier 3","Grocery Store",297
"FDX43",5.66,"LF",0.085258864,"Fruits and Vegetables",166,"OUT035",9,"Small","Tier 2","Supermarket Type1",1831
"FDN10",11.5,"LF",0.046115083,"Snack Foods",120,"OUT035",9,"Small","Tier 2","Supermarket Type1",1541
"NCZ18",7.83,"LF",0.186032678,"Household",253,"OUT035",9,"Small","Tier 2","Supermarket Type1",6088
"FDP11",15.85,"LF",0.069087481,"Breads",219,"OUT035",9,"Small","Tier 2","Supermarket Type1",1089
"FDG46",8.63,"Regular",0.032882271,"Snack Foods",114,"OUT013",26,"High","Tier 3","Supermarket Type1",2732
"FDI10",8.51,"Regular",0.078526225,"Snack Foods",174,"OUT049",14,"Medium","Tier 1","Supermarket Type1",5001
"FDS33",6.67,"Regular",0.12367891,"Snack Foods",89,"OUT045",11,"Small","Tier 2","Supermarket Type1",886
"FDO10",13.65,"Regular",0.0127517,"Snack Foods",56,"OUT046",16,"Small","Tier 1","Supermarket Type1",1603
"FDL40",12.6,"LF",0.011556919,"Frozen Foods",95,"OUT027",28,"Medium","Tier 3","Supermarket Type3",1641
"NCH30",17.1,"LF",0.067154053,"Household",114,"OUT046",16,"Small","Tier 1","Supermarket Type1",1245
"NCP05",19.6,"LF",0,"Health and Hygiene",150,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2581
"NCO26",7.24,"LF",0.076975118,"Household",117,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2665
"NCJ30",5.82,"LF",0.081096613,"Household",170,"OUT017",6,"Small","Tier 2","Supermarket Type1",1019
"FDO39",6.99,"Regular",0.137926458,"Meat",185,"OUT018",4,"Medium","Tier 3","Supermarket Type2",4043
"FDO58",19.6,"LF",0.039569689,"Snack Foods",166,"OUT035",9,"Small","Tier 2","Supermarket Type1",2631
"DRF37",17.25,"LF",0.084676173,"Soft Drinks",263,"OUT018",4,"Medium","Tier 3","Supermarket Type2",3945
"FDF34",9.3,"Regular",0.014076503,"Snack Foods",200,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2182
"NCP06",20.7,"LF",0.039405676,"Household",150,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2267
"FDG57",14.7,"LF",0.072707309,"Fruits and Vegetables",50,"OUT017",6,"Small","Tier 2","Supermarket Type1",292
"FDG04",13.1,"LF",0.006061565,"Frozen Foods",189,"OUT035",9,"Small","Tier 2","Supermarket Type1",4303
"NCX30",16.7,"LF",0.026771204,"Household",246,"OUT017",6,"Small","Tier 2","Supermarket Type1",1981
