"Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","MRP","Outlet_Identifier","Establishment_Age","Outlet_Size","Outlet_Location_Type","Outlet_Type","Sales"
14,"LF",0.030155224,"Fruits and Vegetables",215,"OUT045",11,"Small","Tier 2","Supermarket Type1",3020
12.6,"LF",0.052300844,"Frozen Foods",88,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2157
12.6,"LF",0.029500321,"Household",46,"OUT027",28,"Medium","Tier 3","Supermarket Type3",803
11.15,"LF",0.073783159,"Others",66,"OUT017",6,"Small","Tier 2","Supermarket Type1",989
12.6,"LF",0,"Fruits and Vegetables",185,"OUT027",28,"Medium","Tier 3","Supermarket Type3",8115
18,"LF",0.124959013,"Frozen Foods",117,"OUT018",4,"Medium","Tier 3","Supermarket Type2",356
11.6,"Regular",0.077478931,"Frozen Foods",170,"OUT018",4,"Medium","Tier 3","Supermarket Type2",4278
12.6,"Regular",0.182407266,"Dairy",109,"OUT027",28,"Medium","Tier 3","Supermarket Type3",1868
18.85,"LF",0.090867297,"Hard Drinks",127,"OUT046",16,"Small","Tier 1","Supermarket Type1",3963
4.88,"Regular",0.134037,"Baking Goods",53,"OUT018",4,"Medium","Tier 3","Supermarket Type2",539
12.6,"LF",0.014153743,"Household",146,"OUT027",28,"Medium","Tier 3","Supermarket Type3",3826
6.14,"Regular",0,"Baking Goods",151,"OUT045",11,"Small","Tier 2","Supermarket Type1",1058
15,"LF",0.049038621,"Soft Drinks",65,"OUT013",26,"High","Tier 3","Supermarket Type1",1662
6.97,"LF",0.047784475,"Household",159,"OUT010",15,"Small","Tier 3","Grocery Store",317
11.8,"Regular",0.107057186,"Dairy",224,"OUT046",16,"Small","Tier 1","Supermarket Type1",3558
7.37,"LF",0.042524835,"Fruits and Vegetables",228,"OUT013",26,"High","Tier 3","Supermarket Type1",4527
12.15,"LF",0.131383762,"Frozen Foods",246,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1232
10.1,"LF",0.024159767,"Canned",115,"OUT035",9,"Small","Tier 2","Supermarket Type1",816
12.6,"LF",0.101281,"Dairy",55,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2020
7.08,"LF",0,"Frozen Foods",98,"OUT018",4,"Medium","Tier 3","Supermarket Type2",875
7.75,"Regular",0.083059634,"Frozen Foods",36,"OUT049",14,"Medium","Tier 1","Supermarket Type1",611
11.6,"Regular",0.241055611,"Dairy",239,"OUT010",15,"Small","Tier 3","Grocery Store",717
9.3,"LF",0.066770664,"Frozen Foods",181,"OUT035",9,"Small","Tier 2","Supermarket Type1",2189
7.27,"LF",0.046653872,"Health and Hygiene",99,"OUT045",11,"Small","Tier 2","Supermarket Type1",1971
5.66,"LF",0.175793413,"Soft Drinks",147,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1750
15.5,"LF",0.103422709,"Snack Foods",145,"OUT035",9,"Small","Tier 2","Supermarket Type1",1718
12.8,"LF",0.075996742,"Fruits and Vegetables",97,"OUT013",26,"High","Tier 3","Supermarket Type1",2800
19.35,"LF",0.016597651,"Frozen Foods",122,"OUT013",26,"High","Tier 3","Supermarket Type1",2892
12.6,"LF",0.030952737,"Fruits and Vegetables",160,"OUT027",28,"Medium","Tier 3","Supermarket Type3",3049
8.27,"LF",0.018920019,"Health and Hygiene",238,"OUT017",6,"Small","Tier 2","Supermarket Type1",6232
15,"LF",0.058485617,"Snack Foods",45,"OUT049",14,"Medium","Tier 1","Supermarket Type1",679
12.6,"LF",0.069208684,"Health and Hygiene",264,"OUT027",28,"Medium","Tier 3","Supermarket Type3",4505
12.6,"LF",0.087436672,"Fruits and Vegetables",110,"OUT035",9,"Small","Tier 2","Supermarket Type1",663
10.7,"LF",0,"Frozen Foods",61,"OUT017",6,"Small","Tier 2","Supermarket Type1",410
10,"LF",0,"Health and Hygiene",121,"OUT035",9,"Small","Tier 2","Supermarket Type1",1918
12.6,"Regular",0.051366901,"Baking Goods",77,"OUT027",28,"Medium","Tier 3","Supermarket Type3",3221
12.6,"LF",0.052085615,"Meat",243,"OUT027",28,"Medium","Tier 3","Supermarket Type3",5816
6.87,"Regular",0.035895934,"Frozen Foods",244,"OUT049",14,"Medium","Tier 1","Supermarket Type1",6353
8.71,"Regular",0.046079575,"Dairy",44,"OUT045",11,"Small","Tier 2","Supermarket Type1",407
12.6,"Regular",0.043978369,"Fruits and Vegetables",178,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2526
20.7,"LF",0.04307908,"Dairy",178,"OUT017",6,"Small","Tier 2","Supermarket Type1",1240
12.6,"LF",0.015485016,"Fruits and Vegetables",186,"OUT027",28,"Medium","Tier 3","Supermarket Type3",4980
11.15,"LF",0.119852889,"Dairy",45,"OUT013",26,"High","Tier 3","Supermarket Type1",498
17.2,"Regular",0.012012071,"Canned",163,"OUT046",16,"Small","Tier 1","Supermarket Type1",4623
20.2,"LF",0.011838464,"Household",155,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2603
8.6,"LF",0.090558833,"Household",113,"OUT018",4,"Medium","Tier 3","Supermarket Type2",3092
20.35,"Regular",0.030927632,"Dairy",257,"OUT046",16,"Small","Tier 1","Supermarket Type1",3579
6.59,"LF",0.026163192,"Household",122,"OUT013",26,"High","Tier 3","Supermarket Type1",603
16,"Regular",0.065009745,"Dairy",80,"OUT013",26,"High","Tier 3","Supermarket Type1",935
9.3,"LF",0.043141572,"Fruits and Vegetables",90,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1249
11.6,"Regular",0.07760107,"Frozen Foods",171,"OUT017",6,"Small","Tier 2","Supermarket Type1",3080
12.6,"LF",0.060405784,"Baking Goods",235,"OUT027",28,"Medium","Tier 3","Supermarket Type3",6796
12.6,"LF",0.037315469,"Baking Goods",50,"OUT027",28,"Medium","Tier 3","Supermarket Type3",1993
11.15,"LF",0.032306341,"Health and Hygiene",166,"OUT049",14,"Medium","Tier 1","Supermarket Type1",987
20.75,"LF",0,"Health and Hygiene",149,"OUT013",26,"High","Tier 3","Supermarket Type1",2969
16.1,"Regular",0.159728395,"Frozen Foods",34,"OUT046",16,"Small","Tier 1","Supermarket Type1",272
18.35,"LF",0.089163056,"Household",191,"OUT045",11,"Small","Tier 2","Supermarket Type1",3260
6.78,"LF",0.105225964,"Household",84,"OUT035",9,"Small","Tier 2","Supermarket Type1",3163
7.75,"LF",0.043238822,"Baking Goods",93,"OUT046",16,"Small","Tier 1","Supermarket Type1",1702
5.47,"Regular",0,"Baking Goods",129,"OUT046",16,"Small","Tier 1","Supermarket Type1",3673
12.6,"LF",0.041621987,"Household",254,"OUT027",28,"Medium","Tier 3","Supermarket Type3",6630
12.6,"LF",0.052964982,"Fruits and Vegetables",58,"OUT027",28,"Medium","Tier 3","Supermarket Type3",1754
12.1,"LF",0.011539622,"Dairy",164,"OUT046",16,"Small","Tier 1","Supermarket Type1",2302
12.1,"LF",0.11487406,"Baking Goods",221,"OUT046",16,"Small","Tier 1","Supermarket Type1",5099
12.5,"LF",0.10402738,"Household",172,"OUT017",6,"Small","Tier 2","Supermarket Type1",1875
12.15,"LF",0,"Others",255,"OUT046",16,"Small","Tier 1","Supermarket Type1",4048
12.6,"LF",0.102371638,"Household",221,"OUT019",28,"Small","Tier 1","Grocery Store",663
4.91,"LF",0.1175683,"Canned",198,"OUT045",11,"Small","Tier 2","Supermarket Type1",2956
6.59,"LF",0.026225693,"Household",119,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2531
13.15,"Regular",0.165221717,"Fruits and Vegetables",172,"OUT013",26,"High","Tier 3","Supermarket Type1",4466
15,"LF",0.049070183,"Soft Drinks",62,"OUT035",9,"Small","Tier 2","Supermarket Type1",767
12.6,"LF",0.055806016,"Seafood",52,"OUT027",28,"Medium","Tier 3","Supermarket Type3",1210
16.7,"Regular",0.042610897,"Dairy",117,"OUT035",9,"Small","Tier 2","Supermarket Type1",715
19.5,"Regular",0.077292302,"Soft Drinks",235,"OUT049",14,"Medium","Tier 1","Supermarket Type1",6310
12.6,"LF",0.181769264,"Others",241,"OUT027",28,"Medium","Tier 3","Supermarket Type3",4579
9.1,"LF",0.055382616,"Household",115,"OUT013",26,"High","Tier 3","Supermarket Type1",683
5.82,"LF",0.08062523,"Household",168,"OUT035",9,"Small","Tier 2","Supermarket Type1",1188
17.1,"LF",0.054612768,"Frozen Foods",150,"OUT010",15,"Small","Tier 3","Grocery Store",597
10.9,"LF",0.059834024,"Fruits and Vegetables",134,"OUT010",15,"Small","Tier 3","Grocery Store",264
13.3,"Regular",0.0713931,"Fruits and Vegetables",61,"OUT013",26,"High","Tier 3","Supermarket Type1",1593
8.6,"LF",0.032621545,"Health and Hygiene",143,"OUT046",16,"Small","Tier 1","Supermarket Type1",2127
18.85,"LF",0.01619866,"Health and Hygiene",129,"OUT017",6,"Small","Tier 2","Supermarket Type1",3148
9.8,"Regular",0.056339618,"Breads",84,"OUT013",26,"High","Tier 3","Supermarket Type1",755
12.6,"Regular",0.014998914,"Meat",72,"OUT019",28,"Small","Tier 1","Grocery Store",222
8.28,"LF",0.110913601,"Household",106,"OUT017",6,"Small","Tier 2","Supermarket Type1",1254
16.6,"LF",0.016276741,"Health and Hygiene",110,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1618
6.68,"LF",0.04200648,"Snack Foods",93,"OUT045",11,"Small","Tier 2","Supermarket Type1",1666
20.7,"Regular",0.079281476,"Baking Goods",100,"OUT035",9,"Small","Tier 2","Supermarket Type1",893
8.27,"LF",0.018797945,"Health and Hygiene",241,"OUT013",26,"High","Tier 3","Supermarket Type1",5513
11.8,"LF",0.113559058,"Soft Drinks",184,"OUT045",11,"Small","Tier 2","Supermarket Type1",1851
9.8,"LF",0.026139404,"Snack Foods",217,"OUT045",11,"Small","Tier 2","Supermarket Type1",1947
12.6,"Regular",0,"Baking Goods",76,"OUT027",28,"Medium","Tier 3","Supermarket Type3",3012
7.63,"LF",0.06105276,"Soft Drinks",95,"OUT035",9,"Small","Tier 2","Supermarket Type1",1418
12.6,"Regular",0.063054947,"Frozen Foods",102,"OUT017",6,"Small","Tier 2","Supermarket Type1",2270
14.3,"LF",0.026321701,"Frozen Foods",78,"OUT046",16,"Small","Tier 1","Supermarket Type1",951
10.2,"LF",0,"Frozen Foods",143,"OUT017",6,"Small","Tier 2","Supermarket Type1",2411
11.15,"LF",0.032438645,"Health and Hygiene",163,"OUT017",6,"Small","Tier 2","Supermarket Type1",2302
12.6,"LF",0.032099989,"Health and Hygiene",164,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2960
15.2,"LF",0.031860325,"Snack Foods",235,"OUT010",15,"Small","Tier 3","Grocery Store",474
4.62,"Regular",0.102407778,"Canned",234,"OUT017",6,"Small","Tier 2","Supermarket Type1",3962
8.39,"LF",0.120396991,"Household",163,"OUT013",26,"High","Tier 3","Supermarket Type1",4586
18.7,"Regular",0.091560606,"Meat",182,"OUT035",9,"Small","Tier 2","Supermarket Type1",3831
9,"LF",0.079506434,"Canned",78,"OUT045",11,"Small","Tier 2","Supermarket Type1",1728
12.6,"LF",0.077790204,"Canned",93,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2940
12.6,"Regular",0.102999154,"Fruits and Vegetables",170,"OUT019",28,"Small","Tier 1","Grocery Store",170
19.85,"LF",0.053980686,"Seafood",197,"OUT013",26,"High","Tier 3","Supermarket Type1",2562
6.63,"Regular",0.104445322,"Baking Goods",167,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1831
19.2,"Regular",0,"Fruits and Vegetables",185,"OUT018",4,"Medium","Tier 3","Supermarket Type2",3845
10.1,"LF",0.024262772,"Canned",118,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1515
12.6,"LF",0.088394115,"Frozen Foods",195,"OUT027",28,"Medium","Tier 3","Supermarket Type3",5872
12.6,"LF",0.030554947,"Hard Drinks",42,"OUT027",28,"Medium","Tier 3","Supermarket Type3",1125
20.1,"LF",0.025002878,"Health and Hygiene",140,"OUT010",15,"Small","Tier 3","Grocery Store",567
7.08,"LF",0.097660814,"Dairy",142,"OUT010",15,"Small","Tier 3","Grocery Store",144
5.94,"Regular",0.029366813,"Breads",188,"OUT035",9,"Small","Tier 2","Supermarket Type1",3755
13.65,"LF",0.077219509,"Health and Hygiene",56,"OUT035",9,"Small","Tier 2","Supermarket Type1",509
5.34,"Regular",0.005962753,"Snack Foods",102,"OUT035",9,"Small","Tier 2","Supermarket Type1",2011
7.37,"LF",0.160292264,"Snack Foods",95,"OUT045",11,"Small","Tier 2","Supermarket Type1",932
19.6,"LF",0.03387323,"Soft Drinks",56,"OUT013",26,"High","Tier 3","Supermarket Type1",829
7.26,"LF",0.014482278,"Meat",118,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1864
17.1,"LF",0.054197299,"Breads",84,"OUT035",9,"Small","Tier 2","Supermarket Type1",1860
15.35,"Regular",0.113195815,"Fruits and Vegetables",191,"OUT035",9,"Small","Tier 2","Supermarket Type1",3643
5.88,"LF",0.003612411,"Hard Drinks",154,"OUT017",6,"Small","Tier 2","Supermarket Type1",3537
6.11,"Regular",0,"Fruits and Vegetables",131,"OUT010",15,"Small","Tier 3","Grocery Store",261
10.1,"LF",0.054741627,"Health and Hygiene",200,"OUT045",11,"Small","Tier 2","Supermarket Type1",3175
12.1,"Regular",0.061270647,"Soft Drinks",53,"OUT049",14,"Medium","Tier 1","Supermarket Type1",387
13.65,"LF",0.036033639,"Snack Foods",184,"OUT045",11,"Small","Tier 2","Supermarket Type1",2591
9.6,"LF",0.006692529,"Household",165,"OUT013",26,"High","Tier 3","Supermarket Type1",2972
16,"Regular",0.017547958,"Meat",48,"OUT035",9,"Small","Tier 2","Supermarket Type1",615
8.9,"LF",0.124610886,"Household",113,"OUT013",26,"High","Tier 3","Supermarket Type1",4250
7.83,"LF",0.186357148,"Household",254,"OUT049",14,"Medium","Tier 1","Supermarket Type1",5581
12.6,"Regular",0.116915909,"Snack Foods",159,"OUT027",28,"Medium","Tier 3","Supermarket Type3",4974
9.06,"LF",0.009791467,"Others",213,"OUT049",14,"Medium","Tier 1","Supermarket Type1",4687
9.8,"LF",0,"Fruits and Vegetables",175,"OUT049",14,"Medium","Tier 1","Supermarket Type1",3882
20.5,"LF",0.143164371,"Household",35,"OUT013",26,"High","Tier 3","Supermarket Type1",73
7.52,"LF",0.055213208,"Fruits and Vegetables",130,"OUT049",14,"Medium","Tier 1","Supermarket Type1",642
18.6,"LF",0.118661426,"Others",59,"OUT018",4,"Medium","Tier 3","Supermarket Type2",859
8.6,"LF",0.090374342,"Household",114,"OUT045",11,"Small","Tier 2","Supermarket Type1",1947
17.85,"Regular",0.021065311,"Meat",262,"OUT017",6,"Small","Tier 2","Supermarket Type1",6003
18,"LF",0.01548171,"Health and Hygiene",159,"OUT045",11,"Small","Tier 2","Supermarket Type1",2060
11.6,"LF",0,"Soft Drinks",142,"OUT035",9,"Small","Tier 2","Supermarket Type1",993
7.67,"LF",0.184843579,"Household",33,"OUT046",16,"Small","Tier 1","Supermarket Type1",727
10,"Regular",0.037977917,"Snack Foods",129,"OUT017",6,"Small","Tier 2","Supermarket Type1",642
5.82,"Regular",0.077475884,"Fruits and Vegetables",255,"OUT045",11,"Small","Tier 2","Supermarket Type1",4870
16,"LF",0.060797393,"Starchy Foods",224,"OUT013",26,"High","Tier 3","Supermarket Type1",3601
7.24,"LF",0.058083831,"Snack Foods",114,"OUT013",26,"High","Tier 3","Supermarket Type1",230
10.5,"LF",0.019046089,"Soft Drinks",188,"OUT035",9,"Small","Tier 2","Supermarket Type1",2237
17.5,"Regular",0.012620221,"Dairy",145,"OUT010",15,"Small","Tier 3","Grocery Store",292
13.65,"Regular",0.031439206,"Canned",100,"OUT035",9,"Small","Tier 2","Supermarket Type1",2597
15.35,"LF",0.161350176,"Soft Drinks",197,"OUT010",15,"Small","Tier 3","Grocery Store",591
10.1,"Regular",0,"Fruits and Vegetables",225,"OUT013",26,"High","Tier 3","Supermarket Type1",3579
9.3,"LF",0.028498354,"Baking Goods",196,"OUT013",26,"High","Tier 3","Supermarket Type1",2333
15,"LF",0.046375227,"Breads",123,"OUT046",16,"Small","Tier 1","Supermarket Type1",731
12.6,"LF",0.075691713,"Fruits and Vegetables",98,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2220
6.14,"LF",0.079293753,"Soft Drinks",111,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2264
12.6,"LF",0.026408698,"Frozen Foods",53,"OUT027",28,"Medium","Tier 3","Supermarket Type3",608
7.02,"LF",0.08114883,"Fruits and Vegetables",147,"OUT035",9,"Small","Tier 2","Supermarket Type1",3563
19.1,"LF",0.045299563,"Dairy",39,"OUT035",9,"Small","Tier 2","Supermarket Type1",366
14.8,"Regular",0.043885147,"Breads",109,"OUT035",9,"Small","Tier 2","Supermarket Type1",1868
9.8,"LF",0.02681843,"Meat",126,"OUT013",26,"High","Tier 3","Supermarket Type1",2151
19.85,"LF",0.175962247,"Fruits and Vegetables",223,"OUT035",9,"Small","Tier 2","Supermarket Type1",1779
5.94,"LF",0.035028853,"Canned",180,"OUT018",4,"Medium","Tier 3","Supermarket Type2",1249
9.7,"LF",0.114583922,"Health and Hygiene",156,"OUT017",6,"Small","Tier 2","Supermarket Type1",2535
6.26,"Regular",0.016516867,"Meat",151,"OUT010",15,"Small","Tier 3","Grocery Store",453
12.6,"LF",0.031131455,"Fruits and Vegetables",111,"OUT027",28,"Medium","Tier 3","Supermarket Type3",3205
17.1,"Regular",0.078347922,"Canned",142,"OUT010",15,"Small","Tier 3","Grocery Store",281
17.5,"LF",0.013692598,"Frozen Foods",260,"OUT018",4,"Medium","Tier 3","Supermarket Type2",3617
12.6,"LF",0.009714595,"Frozen Foods",120,"OUT019",28,"Small","Tier 1","Grocery Store",487
7.02,"LF",0.049823902,"Dairy",82,"OUT013",26,"High","Tier 3","Supermarket Type1",2746
10.8,"LF",0.050000257,"Fruits and Vegetables",244,"OUT017",6,"Small","Tier 2","Supermarket Type1",4655
13.1,"LF",0.07494003,"Dairy",75,"OUT046",16,"Small","Tier 1","Supermarket Type1",903
15.5,"Regular",0.085763562,"Frozen Foods",49,"OUT013",26,"High","Tier 3","Supermarket Type1",296
18.25,"Regular",0.171174491,"Dairy",156,"OUT045",11,"Small","Tier 2","Supermarket Type1",939
11.6,"Regular",0.009818244,"Snack Foods",223,"OUT017",6,"Small","Tier 2","Supermarket Type1",5176
19.1,"LF",0.045270426,"Dairy",39,"OUT013",26,"High","Tier 3","Supermarket Type1",731
12.6,"Regular",0.049842613,"Fruits and Vegetables",164,"OUT027",28,"Medium","Tier 3","Supermarket Type3",3947
10.9,"Regular",0.009620042,"Dairy",122,"OUT035",9,"Small","Tier 2","Supermarket Type1",1971
9.5,"LF",0.031346387,"Fruits and Vegetables",111,"OUT045",11,"Small","Tier 2","Supermarket Type1",1658
20.75,"LF",0.149404057,"Breakfast",193,"OUT010",15,"Small","Tier 3","Grocery Store",775
19,"Regular",0.066005186,"Fruits and Vegetables",188,"OUT017",6,"Small","Tier 2","Supermarket Type1",2826
12.6,"LF",0.12517151,"Fruits and Vegetables",89,"OUT027",28,"Medium","Tier 3","Supermarket Type3",3140
13.65,"Regular",0.012741089,"Snack Foods",58,"OUT013",26,"High","Tier 3","Supermarket Type1",344
5.51,"LF",0.034467286,"Health and Hygiene",97,"OUT035",9,"Small","Tier 2","Supermarket Type1",2643
10.65,"LF",0.024020078,"Fruits and Vegetables",57,"OUT045",11,"Small","Tier 2","Supermarket Type1",1174
12.6,"Regular",0.22417463,"Snack Foods",169,"OUT019",28,"Small","Tier 1","Grocery Store",168
21.2,"Regular",0,"Starchy Foods",174,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2954
12.6,"Regular",0.102226474,"Canned",91,"OUT027",28,"Medium","Tier 3","Supermarket Type3",3076
9.04,"Regular",0.174450933,"Meat",151,"OUT017",6,"Small","Tier 2","Supermarket Type1",2708
6.87,"LF",0.056819936,"Snack Foods",213,"OUT035",9,"Small","Tier 2","Supermarket Type1",2137
5.79,"Regular",0.038749536,"Fruits and Vegetables",262,"OUT035",9,"Small","Tier 2","Supermarket Type1",4460
5.78,"LF",0.014614357,"Soft Drinks",147,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2333
12.6,"LF",0.047098175,"Household",76,"OUT019",28,"Small","Tier 1","Grocery Store",150
14.8,"LF",0.13564792,"Meat",191,"OUT010",15,"Small","Tier 3","Grocery Store",191
8.27,"LF",0.018813601,"Health and Hygiene",238,"OUT046",16,"Small","Tier 1","Supermarket Type1",7191
14.35,"LF",0.017135155,"Health and Hygiene",110,"OUT017",6,"Small","Tier 2","Supermarket Type1",1658
18.6,"LF",0.039517121,"Frozen Foods",244,"OUT017",6,"Small","Tier 2","Supermarket Type1",5896
17.6,"Regular",0.076276208,"Meat",111,"OUT045",11,"Small","Tier 2","Supermarket Type1",1688
12.6,"LF",0.135075924,"Fruits and Vegetables",170,"OUT027",28,"Medium","Tier 3","Supermarket Type3",3422
18.6,"LF",0.080829372,"Health and Hygiene",96,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2742
12.15,"LF",0.02176755,"Breads",165,"OUT045",11,"Small","Tier 2","Supermarket Type1",3798
17.85,"LF",0.146305498,"Breads",94,"OUT013",26,"High","Tier 3","Supermarket Type1",1607
12.6,"Regular",0.045068892,"Snack Foods",191,"OUT019",28,"Small","Tier 1","Grocery Store",945
12.6,"LF",0.044444956,"Household",245,"OUT027",28,"Medium","Tier 3","Supermarket Type3",10073
10.5,"Regular",0.142511272,"Breads",159,"OUT035",9,"Small","Tier 2","Supermarket Type1",2246
7.9,"Regular",0.061270647,"Breakfast",57,"OUT049",14,"Medium","Tier 1","Supermarket Type1",344
17.75,"LF",0.055159054,"Fruits and Vegetables",146,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2467
16.5,"Regular",0.079837509,"Fruits and Vegetables",102,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1743
12.6,"LF",0.102941345,"Snack Foods",142,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2720
10.5,"LF",0.011305479,"Household",236,"OUT049",14,"Medium","Tier 1","Supermarket Type1",4740
10.8,"LF",0.083016832,"Dairy",193,"OUT017",6,"Small","Tier 2","Supermarket Type1",2876
19.85,"LF",0.005264755,"Dairy",265,"OUT017",6,"Small","Tier 2","Supermarket Type1",5830
5.48,"LF",0.015131684,"Frozen Foods",83,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1415
12.6,"Regular",0.056713056,"Fruits and Vegetables",224,"OUT027",28,"Medium","Tier 3","Supermarket Type3",5593
18.85,"Regular",0.067953506,"Dairy",119,"OUT046",16,"Small","Tier 1","Supermarket Type1",2397
12.6,"Regular",0.076851759,"Breads",112,"OUT019",28,"Small","Tier 1","Grocery Store",110
19.35,"Regular",0.062528426,"Baking Goods",167,"OUT046",16,"Small","Tier 1","Supermarket Type1",3302
20.2,"LF",0.074177667,"Household",93,"OUT013",26,"High","Tier 3","Supermarket Type1",1018
15.7,"Regular",0.018926773,"Fruits and Vegetables",60,"OUT035",9,"Small","Tier 2","Supermarket Type1",1164
17.5,"LF",0.016760075,"Meat",142,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2097
7.94,"LF",0.017141985,"Dairy",50,"OUT013",26,"High","Tier 3","Supermarket Type1",150
7.35,"LF",0.028652919,"Fruits and Vegetables",41,"OUT045",11,"Small","Tier 2","Supermarket Type1",545
10.9,"Regular",0.032454046,"Frozen Foods",145,"OUT046",16,"Small","Tier 1","Supermarket Type1",3062
6.77,"Regular",0.087187488,"Frozen Foods",106,"OUT013",26,"High","Tier 3","Supermarket Type1",1568
12.6,"LF",0.005949644,"Household",166,"OUT027",28,"Medium","Tier 3","Supermarket Type3",4769
17.1,"Regular",0.07436116,"Fruits and Vegetables",206,"OUT018",4,"Medium","Tier 3","Supermarket Type2",4141
16.35,"LF",0.013387211,"Others",106,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1065
16.7,"LF",0.022099982,"Dairy",110,"OUT049",14,"Medium","Tier 1","Supermarket Type1",1334
12.6,"LF",0.059557164,"Health and Hygiene",264,"OUT027",28,"Medium","Tier 3","Supermarket Type3",6872
13.3,"LF",0.063513272,"Frozen Foods",150,"OUT013",26,"High","Tier 3","Supermarket Type1",2107
4.62,"Regular",0.102038294,"Canned",232,"OUT045",11,"Small","Tier 2","Supermarket Type1",2563
12.6,"Regular",0.056338482,"Canned",185,"OUT019",28,"Small","Tier 1","Grocery Store",1305
15.35,"LF",0.014098693,"Frozen Foods",37,"OUT017",6,"Small","Tier 2","Supermarket Type1",806
7.37,"LF",0.159967845,"Snack Foods",95,"OUT046",16,"Small","Tier 1","Supermarket Type1",1305
17.85,"LF",0.052257982,"Snack Foods",122,"OUT049",14,"Medium","Tier 1","Supermarket Type1",2450
12.35,"Regular",0.038718195,"Fruits and Vegetables",111,"OUT017",6,"Small","Tier 2","Supermarket Type1",2087
16.7,"Regular",0.119704498,"Fruits and Vegetables",182,"OUT045",11,"Small","Tier 2","Supermarket Type1",5433
12.6,"Regular",0.114916546,"Fruits and Vegetables",188,"OUT019",28,"Small","Tier 1","Grocery Store",565
19.7,"Regular",0.08073703,"Baking Goods",197,"OUT046",16,"Small","Tier 1","Supermarket Type1",3339
11.8,"Regular",0,"Meat",102,"OUT010",15,"Small","Tier 3","Grocery Store",204
15.2,"Regular",0.104201019,"Fruits and Vegetables",177,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2977
9.3,"LF",0.01601936,"Dairy",249,"OUT035",9,"Small","Tier 2","Supermarket Type1",6474
10.9,"LF",0.137368051,"Dairy",264,"OUT018",4,"Medium","Tier 3","Supermarket Type2",4746
6.65,"LF",0.053591345,"Canned",150,"OUT017",6,"Small","Tier 2","Supermarket Type1",2376
12.6,"Regular",0,"Baking Goods",121,"OUT019",28,"Small","Tier 1","Grocery Store",121
6.94,"Regular",0.041282286,"Snack Foods",104,"OUT046",16,"Small","Tier 1","Supermarket Type1",1230
13.5,"Regular",0.017895691,"Snack Foods",79,"OUT045",11,"Small","Tier 2","Supermarket Type1",1598
17.6,"LF",0.049267759,"Snack Foods",113,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2863
12.15,"LF",0,"Health and Hygiene",224,"OUT018",4,"Medium","Tier 3","Supermarket Type2",5626
21.25,"LF",0.114066204,"Health and Hygiene",233,"OUT018",4,"Medium","Tier 3","Supermarket Type2",5593
12.6,"Regular",0.032296886,"Frozen Foods",144,"OUT027",28,"Medium","Tier 3","Supermarket Type3",5395
14,"Regular",0.031267496,"Canned",51,"OUT046",16,"Small","Tier 1","Supermarket Type1",692
13.1,"Regular",0.044372393,"Fruits and Vegetables",180,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2887
10.3,"Regular",0.030693756,"Fruits and Vegetables",114,"OUT018",4,"Medium","Tier 3","Supermarket Type2",2176
17.6,"LF",0.018889593,"Health and Hygiene",236,"OUT013",26,"High","Tier 3","Supermarket Type1",4727
18.85,"LF",0.036037952,"Meat",58,"OUT046",16,"Small","Tier 1","Supermarket Type1",711
17.7,"Regular",0,"Starchy Foods",184,"OUT035",9,"Small","Tier 2","Supermarket Type1",7034
12.3,"Regular",0,"Snack Foods",57,"OUT013",26,"High","Tier 3","Supermarket Type1",178
10.3,"Regular",0.011189235,"Snack Foods",87,"OUT017",6,"Small","Tier 2","Supermarket Type1",2424
7.48,"LF",0.01319424,"Household",217,"OUT017",6,"Small","Tier 2","Supermarket Type1",4314
12.6,"LF",0.044660955,"Soft Drinks",75,"OUT027",28,"Medium","Tier 3","Supermarket Type3",2680
17.7,"Regular",0.042468413,"Frozen Foods",162,"OUT035",9,"Small","Tier 2","Supermarket Type1",1468
