Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,log_MRP,Outlet_Identifier,Establishment_Age,Outlet_Size,Outlet_Location_Type,Outlet_Type,log_sales
FDQ33,13.35,LF,0.091189915,Snack Foods,2.174265707,OUT035,9,Small,Tier 2,Supermarket Type1,3.654573485
FDQ27,12.6,Regular,0.077480627,Meat,2.006033672,OUT019,28,Small,Tier 1,Grocery Store,2.314705485
NCB07,19.2,LF,0.129731747,Household,2.292723351,OUT010,15,Small,Tier 3,Grocery Store,2.770287062
FDC08,19,Regular,0.103363904,Fruits and Vegetables,2.354438838,OUT013,26,High,Tier 3,Supermarket Type1,3.500950744
FDD20,14.15,LF,0.020714523,Fruits and Vegetables,2.094137681,OUT046,16,Small,Tier 1,Supermarket Type1,3.396215393
FDS24,20.85,Regular,0.062212713,Baking Goods,1.945229214,OUT035,9,Small,Tier 2,Supermarket Type1,3.061138784
FDH34,8.63,LF,0.031271134,Snack Foods,2.269648815,OUT017,6,Small,Tier 2,Supermarket Type1,3.591167289
NCX30,16.7,LF,0.026729068,Household,2.395287244,OUT018,4,Medium,Tier 3,Supermarket Type2,3.808860079
FDM01,7.9,Regular,0.094567181,Breakfast,2.019254245,OUT046,16,Small,Tier 1,Supermarket Type1,3.266137017
FDB20,7.72,LF,0.05193741,Fruits and Vegetables,1.892086808,OUT013,26,High,Tier 3,Supermarket Type1,2.970710899
NCK29,5.62,LF,0.126480422,Health and Hygiene,2.084837134,OUT017,6,Small,Tier 2,Supermarket Type1,3.505488867
FDS11,7.05,Regular,0.055644887,Breads,2.352006448,OUT049,14,Medium,Tier 1,Supermarket Type1,3.428864314
NCV41,14.35,LF,0.028519419,Health and Hygiene,2.038313306,OUT010,15,Small,Tier 3,Grocery Store,2.344481875
DRL60,8.52,LF,0.027101431,Soft Drinks,2.181180783,OUT049,14,Medium,Tier 1,Supermarket Type1,3.387299256
FDV10,7.65,Regular,0.067083367,Snack Foods,1.64356321,OUT017,6,Small,Tier 2,Supermarket Type1,2.7756518
FDV09,12.1,LF,0.020652362,Snack Foods,2.174854366,OUT018,4,Medium,Tier 3,Supermarket Type2,3.347739913
FDQ39,14.8,LF,0.081042136,Meat,2.284395989,OUT046,16,Small,Tier 1,Supermarket Type1,3.712589452
DRE49,20.75,LF,0.021336565,Soft Drinks,2.186398001,OUT018,4,Medium,Tier 3,Supermarket Type2,3.135521147
FDR45,10.8,LF,0.029001987,Snack Foods,2.377710845,OUT045,11,Small,Tier 2,Supermarket Type1,3.93474074
DRJ23,18.35,LF,0.069745165,Hard Drinks,2.279409576,OUT010,15,Small,Tier 3,Grocery Store,2.577692127
FDQ26,13.5,Regular,0.068148886,Dairy,1.768313924,OUT018,4,Medium,Tier 3,Supermarket Type2,2.851915044
NCA06,20.5,LF,0.144094079,Household,1.541816294,OUT017,6,Small,Tier 2,Supermarket Type1,3.026104478
FDT24,12.35,Regular,0.186616421,Baking Goods,1.895603741,OUT018,4,Medium,Tier 3,Supermarket Type2,3.001745132
DRG27,8.9,LF,0.105323859,Dairy,1.592330011,OUT045,11,Small,Tier 2,Supermarket Type1,2.784764885
FDR02,16.7,LF,0.022110425,Dairy,2.0448869,OUT045,11,Small,Tier 2,Supermarket Type1,3.55121024
DRG37,16.2,LF,0.019374768,Soft Drinks,2.192838315,OUT035,9,Small,Tier 2,Supermarket Type1,3.306503001
FDJ07,7.26,LF,0.014482278,Meat,2.072305054,OUT018,4,Medium,Tier 3,Supermarket Type2,3.270501822
FDP32,6.65,LF,0.087805788,Fruits and Vegetables,2.103008953,OUT049,14,Medium,Tier 1,Supermarket Type1,3.280468417
FDV59,13.35,LF,0.048027043,Breads,2.340278694,OUT046,16,Small,Tier 1,Supermarket Type1,3.752864891
FDP60,17.35,LF,0.055908268,Baking Goods,1.999137504,OUT035,9,Small,Tier 2,Supermarket Type1,2.783338629
FDE32,12.6,LF,0.048522793,Fruits and Vegetables,1.598249764,OUT027,28,Medium,Tier 3,Supermarket Type3,3.010582411
FDK26,5.46,Regular,0.032359413,Canned,2.272825202,OUT017,6,Small,Tier 2,Supermarket Type1,3.500950744
FDW28,18.25,LF,0.088807455,Frozen Foods,2.295226568,OUT035,9,Small,Tier 2,Supermarket Type1,3.437819157
FDP56,8.19,LF,0.046556408,Fruits and Vegetables,1.679147968,OUT049,14,Medium,Tier 1,Supermarket Type1,2.806518863
FDT25,7.5,LF,0.050750977,Canned,2.087096794,OUT046,16,Small,Tier 1,Supermarket Type1,3.292281596
FDQ12,12.65,LF,0.035404052,Baking Goods,2.362861186,OUT035,9,Small,Tier 2,Supermarket Type1,3.315405395
FDR60,14.3,LF,0.130390458,Baking Goods,1.88780178,OUT035,9,Small,Tier 2,Supermarket Type1,2.364923035
FDZ10,17.85,LF,0.074422769,Snack Foods,2.107216755,OUT010,15,Small,Tier 3,Grocery Store,2.403127387
FDM13,6.43,LF,0.105742544,Breakfast,2.11581879,OUT010,15,Small,Tier 3,Grocery Store,2.117810017
FDF26,6.83,Regular,0.046729336,Canned,2.186107814,OUT045,11,Small,Tier 2,Supermarket Type1,3.333083806
FDN02,12.6,LF,0.073470234,Canned,2.312523892,OUT027,28,Medium,Tier 3,Supermarket Type3,3.731077528
NCI30,20.25,LF,0.058886477,Household,2.390132864,OUT013,26,High,Tier 3,Supermarket Type1,3.236643555
NCJ31,19.2,LF,0.18293775,Others,2.385641302,OUT049,14,Medium,Tier 1,Supermarket Type1,3.55814362
NCQ54,17.7,LF,0.020993364,Household,2.222319443,OUT010,15,Small,Tier 3,Grocery Store,2.226464312
FDB02,9.7,Regular,0.029223424,Canned,2.244121192,OUT045,11,Small,Tier 2,Supermarket Type1,3.477038586
FDC02,12.6,LF,0.068489201,Canned,2.413849076,OUT027,28,Medium,Tier 3,Supermarket Type3,3.619640531
FDA11,7.75,LF,0.043326511,Baking Goods,1.980655914,OUT045,11,Small,Tier 2,Supermarket Type1,3.054813381
DRI23,12.6,LF,0.136532569,Hard Drinks,2.203190141,OUT027,28,Medium,Tier 3,Supermarket Type3,3.460633338
FDE04,19.75,Regular,0.018051091,Frozen Foods,2.254949077,OUT049,14,Medium,Tier 1,Supermarket Type1,3.430798814
FDW38,5.33,Regular,0.23212188,Dairy,1.744526109,OUT010,15,Small,Tier 3,Grocery Store,1.73182881
FDG46,12.6,Regular,0.057620562,Snack Foods,2.062400708,OUT019,28,Small,Tier 1,Grocery Store,2.056339901
NCJ05,12.6,LF,0.045865089,Health and Hygiene,2.182894337,OUT027,28,Medium,Tier 3,Supermarket Type3,3.359270532
FDU01,12.6,Regular,0.021002171,Canned,2.26762316,OUT019,28,Small,Tier 1,Grocery Store,2.744509841
FDY11,6.71,Regular,0.029727657,Baking Goods,1.823566817,OUT017,6,Small,Tier 2,Supermarket Type1,3.049427907
FDX60,14.35,LF,0.080527065,Baking Goods,1.89925128,OUT013,26,High,Tier 3,Supermarket Type1,2.856767546
NCN29,15.2,LF,0,Health and Hygiene,1.679458787,OUT049,14,Medium,Tier 1,Supermarket Type1,2.64090916
FDT07,5.82,Regular,0,Fruits and Vegetables,2.409312501,OUT049,14,Medium,Tier 1,Supermarket Type1,3.311894507
FDI21,5.59,Regular,0.056833394,Snack Foods,1.791808503,OUT018,4,Medium,Tier 3,Supermarket Type2,3.084368625
FDI41,18.5,Regular,0.062256921,Frozen Foods,2.170384357,OUT046,16,Small,Tier 1,Supermarket Type1,3.3138641
FDE10,12.6,Regular,0.089512542,Snack Foods,2.124382266,OUT027,28,Medium,Tier 3,Supermarket Type3,3.564968048
FDQ28,14,Regular,0.060427062,Frozen Foods,2.186293941,OUT046,16,Small,Tier 1,Supermarket Type1,3.489861771
FDY32,7.61,LF,0.216323008,Fruits and Vegetables,2.217539215,OUT010,15,Small,Tier 3,Grocery Store,2.91147988
NCK05,12.6,LF,0.135612397,Health and Hygiene,1.786422028,OUT019,28,Small,Tier 1,Grocery Store,1.787131618
FDH12,9.6,LF,0.085125951,Baking Goods,2.029902997,OUT045,11,Small,Tier 2,Supermarket Type1,3.10664502
FDJ27,17.7,Regular,0.122565413,Meat,2.016479261,OUT017,6,Small,Tier 2,Supermarket Type1,3.184126481
DRL35,15.7,LF,0,Hard Drinks,1.637259512,OUT010,15,Small,Tier 3,Grocery Store,2.113378402
NCY29,13.65,LF,0.077670981,Health and Hygiene,1.741096422,OUT017,6,Small,Tier 2,Supermarket Type1,3.114490553
FDC21,14.6,Regular,0.043201813,Fruits and Vegetables,2.041887499,OUT017,6,Small,Tier 2,Supermarket Type1,3.265980317
FDM33,15.6,LF,0.088215871,Snack Foods,2.342777473,OUT017,6,Small,Tier 2,Supermarket Type1,3.704899621
DRJ39,20.25,LF,0.036295834,Dairy,2.337555494,OUT013,26,High,Tier 3,Supermarket Type1,3.039509693
FDB22,8.02,LF,0.186528819,Snack Foods,2.181843017,OUT010,15,Small,Tier 3,Grocery Store,2.487985766
FDC32,18.35,LF,0.099026525,Fruits and Vegetables,1.972416692,OUT013,26,High,Tier 3,Supermarket Type1,3.112486627
FDD02,16.6,LF,0,Canned,2.074861769,OUT046,16,Small,Tier 1,Supermarket Type1,3.416186474
FDL28,10,Regular,0.063162608,Frozen Foods,2.359203114,OUT035,9,Small,Tier 2,Supermarket Type1,3.538511149
FDL39,16.1,Regular,0.063429818,Dairy,2.253899414,OUT049,14,Medium,Tier 1,Supermarket Type1,3.370256434
FDV37,13,Regular,0.139785104,Canned,2.292793289,OUT010,15,Small,Tier 3,Grocery Store,2.29610024
FDA28,16.1,Regular,0.04807227,Frozen Foods,2.102214788,OUT017,6,Small,Tier 2,Supermarket Type1,3.245933631
FDL04,19,LF,0.112097433,Frozen Foods,2.023508433,OUT049,14,Medium,Tier 1,Supermarket Type1,3.28001342
FDR10,17.6,LF,0.010037996,Snack Foods,2.213664356,OUT035,9,Small,Tier 2,Supermarket Type1,3.489487218
FDA39,6.32,LF,0.012789884,Meat,1.593088817,OUT017,6,Small,Tier 2,Supermarket Type1,3.025559567
FDR15,9.3,Regular,0.033431669,Meat,2.185064253,OUT035,9,Small,Tier 2,Supermarket Type1,3.667820967
FDQ40,11.1,Regular,0.03623131,Frozen Foods,2.243214709,OUT017,6,Small,Tier 2,Supermarket Type1,3.523701319
DRG23,12.6,LF,0.086360962,Hard Drinks,2.179747639,OUT027,28,Medium,Tier 3,Supermarket Type3,3.387299256
FDU36,6.15,LF,0.046232445,Baking Goods,1.997554128,OUT013,26,High,Tier 3,Supermarket Type1,3.139733542
FDF47,20.85,LF,0.097618234,Starchy Foods,2.35019877,OUT046,16,Small,Tier 1,Supermarket Type1,2.953033683
FDH14,17.1,Regular,0.046808553,Canned,2.150706716,OUT046,16,Small,Tier 1,Supermarket Type1,3.147626246
FDO45,13.15,Regular,0.03810738,Snack Foods,1.936441354,OUT018,4,Medium,Tier 3,Supermarket Type2,2.789015762
FDK60,16.5,Regular,0.093846532,Baking Goods,1.980942796,OUT035,9,Small,Tier 2,Supermarket Type1,3.029089332
FDS43,11.65,LF,0.040744057,Fruits and Vegetables,2.269335454,OUT017,6,Small,Tier 2,Supermarket Type1,3.612924503
FDN44,13.15,LF,0.022831052,Fruits and Vegetables,2.204911848,OUT049,14,Medium,Tier 1,Supermarket Type1,3.680676287
FDS34,19.35,Regular,0.076878416,Snack Foods,2.05672119,OUT049,14,Medium,Tier 1,Supermarket Type1,3.056339901
FDU20,19.35,Regular,0.021501067,Fruits and Vegetables,2.087106033,OUT045,11,Small,Tier 2,Supermarket Type1,3.442750202
FDP44,16.5,Regular,0.07964724,Fruits and Vegetables,2.006180127,OUT013,26,High,Tier 3,Supermarket Type1,3.289618113
FDC02,21.35,LF,0.068809463,Canned,2.41250725,OUT035,9,Small,Tier 2,Supermarket Type1,3.716550544
FDT56,16,Regular,0.115570552,Fruits and Vegetables,1.759853607,OUT035,9,Small,Tier 2,Supermarket Type1,2.239984298
NCA06,20.5,LF,0.143164371,Household,1.543061798,OUT013,26,High,Tier 3,Supermarket Type1,1.864736476
FDE04,19.75,Regular,0.018008071,Frozen Foods,2.256395392,OUT013,26,High,Tier 3,Supermarket Type1,3.533461156
NCX06,17.6,LF,0.015775777,Household,2.253332189,OUT017,6,Small,Tier 2,Supermarket Type1,3.58013199
FDX49,4.62,Regular,0.102407778,Canned,2.369827893,OUT017,6,Small,Tier 2,Supermarket Type1,3.597860757
DRM59,5.88,LF,0.003606726,Hard Drinks,2.18808381,OUT018,4,Medium,Tier 3,Supermarket Type2,3.14119828
FDJ34,11.8,Regular,0.093801337,Snack Foods,2.100613131,OUT049,14,Medium,Tier 1,Supermarket Type1,3.09750164
FDP60,17.35,LF,0,Baking Goods,2.008181003,OUT013,26,High,Tier 3,Supermarket Type1,3.260459884
FDI07,12.35,Regular,0.033760862,Meat,2.294339667,OUT046,16,Small,Tier 1,Supermarket Type1,3.711073588
FDV07,12.6,LF,0.031131455,Fruits and Vegetables,2.045412176,OUT027,28,Medium,Tier 3,Supermarket Type3,3.505849877
FDH41,9,LF,0.082177842,Frozen Foods,2.330724974,OUT045,11,Small,Tier 2,Supermarket Type1,3.2356363
NCB31,6.24,LF,0.118858866,Household,2.420436014,OUT049,14,Medium,Tier 1,Supermarket Type1,3.533884239
FDW34,9.6,LF,0,Snack Foods,2.388841572,OUT035,9,Small,Tier 2,Supermarket Type1,3.64090916
FDX45,16.75,LF,0.105448901,Snack Foods,2.193578144,OUT017,6,Small,Tier 2,Supermarket Type1,2.893381657
FDH14,17.1,Regular,0.046881328,Canned,2.15039965,OUT049,14,Medium,Tier 1,Supermarket Type1,3.226807492
FDF26,6.83,Regular,0.078057026,Canned,2.189208928,OUT010,15,Small,Tier 3,Grocery Store,2.186955771
FDU24,6.78,Regular,0.140955857,Baking Goods,1.964787442,OUT017,6,Small,Tier 2,Supermarket Type1,3.612924503
FDX11,16,Regular,0.107186944,Baking Goods,2.259984043,OUT018,4,Medium,Tier 3,Supermarket Type2,3.538260039
FDF35,15,LF,0.153960209,Starchy Foods,2.025280462,OUT035,9,Small,Tier 2,Supermarket Type1,3.071562352
NCC43,7.39,LF,0.093160853,Household,2.400203895,OUT018,4,Medium,Tier 3,Supermarket Type2,3.001745132
FDG29,17.6,LF,0.05629192,Frozen Foods,1.628852611,OUT046,16,Small,Tier 1,Supermarket Type1,2.62268434
FDS44,12.65,Regular,0.15604396,Fruits and Vegetables,2.37958432,OUT046,16,Small,Tier 1,Supermarket Type1,3.584970975
FDZ10,17.85,LF,0.044463491,Snack Foods,2.104152384,OUT046,16,Small,Tier 1,Supermarket Type1,3.306217374
FDC52,11.15,Regular,0.00827301,Dairy,2.17745223,OUT013,26,High,Tier 3,Supermarket Type1,3.291395582
DRL35,15.7,LF,0.030697825,Hard Drinks,1.632224391,OUT035,9,Small,Tier 2,Supermarket Type1,3.067620912
NCP55,14.65,LF,0,Others,1.751751643,OUT010,15,Small,Tier 3,Grocery Store,1.742421883
FDV38,12.6,LF,0.101281,Dairy,1.741116917,OUT027,28,Medium,Tier 3,Supermarket Type3,3.305359367
FDL44,18.25,LF,0.012300013,Fruits and Vegetables,2.205446353,OUT045,11,Small,Tier 2,Supermarket Type1,3.487703665
FDZ47,20.7,Regular,0,Baking Goods,1.994335633,OUT017,6,Small,Tier 2,Supermarket Type1,3.27528366
FDT45,15.85,LF,0.057313443,Snack Foods,1.727505471,OUT046,16,Small,Tier 1,Supermarket Type1,3.135097652
FDN23,6.58,Regular,0.075625152,Breads,2.163591877,OUT049,14,Medium,Tier 1,Supermarket Type1,3.504222965
NCP43,17.75,LF,0.030568919,Others,2.250092938,OUT045,11,Small,Tier 2,Supermarket Type1,3.368650907
DRJ24,12.6,LF,0.198424841,Soft Drinks,2.267857607,OUT019,28,Small,Tier 1,Grocery Store,2.568418582
FDA02,12.6,Regular,0.029578726,Dairy,2.157089714,OUT027,28,Medium,Tier 3,Supermarket Type3,3.574776873
FDH33,12.6,LF,0.213125482,Snack Foods,1.652660126,OUT019,28,Small,Tier 1,Grocery Store,2.244947718
FDF56,16.7,Regular,0.120137953,Fruits and Vegetables,2.258392055,OUT017,6,Small,Tier 2,Supermarket Type1,3.488361616
NCN26,10.85,LF,0.028679894,Household,2.061380091,OUT046,16,Small,Tier 1,Supermarket Type1,3.324128964
FDD22,10,LF,0.099804623,Snack Foods,2.055968204,OUT049,14,Medium,Tier 1,Supermarket Type1,3.51105107
FDU15,13.65,Regular,0.044526443,Meat,1.579248399,OUT010,15,Small,Tier 3,Grocery Store,1.856767546
FDB41,19,Regular,0.162882227,Frozen Foods,1.670911632,OUT010,15,Small,Tier 3,Grocery Store,2.276662131
FDZ35,9.6,Regular,0.022404493,Breads,2.010719628,OUT017,6,Small,Tier 2,Supermarket Type1,3.411615498
FDT60,12,LF,0.075975642,Baking Goods,2.093907543,OUT017,6,Small,Tier 2,Supermarket Type1,3.172037981
FDE51,5.93,Regular,0.09644909,Dairy,1.641559375,OUT035,9,Small,Tier 2,Supermarket Type1,2.494516634
NCQ06,13,LF,0.041816615,Household,2.405690176,OUT035,9,Small,Tier 2,Supermarket Type1,3.685296166
FDS28,8.18,Regular,0.082867689,Frozen Foods,1.767592168,OUT017,6,Small,Tier 2,Supermarket Type1,2.234963497
FDH32,12.8,LF,0.076214289,Fruits and Vegetables,1.984711793,OUT045,11,Small,Tier 2,Supermarket Type1,3.263465394
FDW37,19.2,LF,0.124301968,Canned,1.95302865,OUT045,11,Small,Tier 2,Supermarket Type1,3.318610535
FDY33,14.5,Regular,0.097201128,Snack Foods,2.202559695,OUT046,16,Small,Tier 1,Supermarket Type1,3.432190613
FDF17,5.19,LF,0.042861968,Frozen Foods,2.294049368,OUT017,6,Small,Tier 2,Supermarket Type1,3.571919408
FDG56,13.3,Regular,0.0713931,Fruits and Vegetables,1.785711277,OUT013,26,High,Tier 3,Supermarket Type1,3.202104966
NCB18,19.6,LF,0.041256807,Household,1.948664275,OUT013,26,High,Tier 3,Supermarket Type1,3.327406673
FDU14,17.75,LF,0.034746076,Dairy,2.394932991,OUT035,9,Small,Tier 2,Supermarket Type1,2.99943505
FDU22,12.35,LF,0.093441604,Snack Foods,2.075956975,OUT049,14,Medium,Tier 1,Supermarket Type1,3.565125487
NCV41,14.35,LF,0.017024598,Health and Hygiene,2.040692512,OUT013,26,High,Tier 3,Supermarket Type1,3.32220548
FDY52,6.37,LF,0.007363189,Frozen Foods,1.801085248,OUT045,11,Small,Tier 2,Supermarket Type1,3.088161614
DRG48,12.6,LF,0.014484582,Soft Drinks,2.158091577,OUT027,28,Medium,Tier 3,Supermarket Type3,3.4860072
FDU01,12.6,Regular,0.011937183,Canned,2.266684106,OUT027,28,Medium,Tier 3,Supermarket Type3,3.647599828
NCP53,14.75,LF,0.032862976,Health and Hygiene,2.377835316,OUT013,26,High,Tier 3,Supermarket Type1,3.631284512
FDC17,12.15,LF,0.015484763,Frozen Foods,2.326321111,OUT049,14,Medium,Tier 1,Supermarket Type1,2.800152128
NCZ30,6.59,LF,0.026163192,Household,2.084611306,OUT013,26,High,Tier 3,Supermarket Type1,2.77999237
FDK03,12.6,Regular,0.073920438,Dairy,2.407621334,OUT046,16,Small,Tier 1,Supermarket Type1,3.446799839
FDE08,12.6,LF,0.086352403,Fruits and Vegetables,2.17572456,OUT019,28,Small,Tier 1,Grocery Store,2.648769909
NCM07,12.6,LF,0.03976832,Others,1.924231718,OUT027,28,Medium,Tier 3,Supermarket Type3,3.370872367
FDY35,12.6,Regular,0.015950066,Breads,1.678884234,OUT027,28,Medium,Tier 3,Supermarket Type3,3.295661337
FDS28,12.6,Regular,0.082002559,Frozen Foods,1.772752853,OUT027,28,Medium,Tier 3,Supermarket Type3,3.138053484
FDI56,7.33,LF,0.093307668,Fruits and Vegetables,1.967148129,OUT013,26,High,Tier 3,Supermarket Type1,3.302487039
FDR23,12.6,LF,0.143199389,Breads,2.245110266,OUT019,28,Small,Tier 1,Grocery Store,2.54761966
FDF29,15.1,Regular,0.019965179,Frozen Foods,2.115713665,OUT049,14,Medium,Tier 1,Supermarket Type1,2.958476442
FDA47,12.6,Regular,0.116108797,Baking Goods,2.215164154,OUT027,28,Medium,Tier 3,Supermarket Type3,3.780711599
FDI10,8.51,Regular,0.078339081,Snack Foods,2.237900979,OUT013,26,High,Tier 3,Supermarket Type1,3.139733542
FDC45,12.6,LF,0.237651344,Fruits and Vegetables,2.230986603,OUT019,28,Small,Tier 1,Grocery Store,2.233276914
FDA27,20.35,Regular,0.031102571,Dairy,2.41038442,OUT017,6,Small,Tier 2,Supermarket Type1,3.310765002
NCR41,17.85,LF,0.018097419,Health and Hygiene,1.986365905,OUT018,4,Medium,Tier 3,Supermarket Type2,3.124807864
FDR09,18.25,LF,0.078041216,Snack Foods,2.412454163,OUT018,4,Medium,Tier 3,Supermarket Type2,3.454686077
NCB06,17.6,LF,0.08226356,Health and Hygiene,2.205453389,OUT013,26,High,Tier 3,Supermarket Type1,3.10664502
FDE53,10.9,LF,0.026880159,Frozen Foods,2.027055901,OUT046,16,Small,Tier 1,Supermarket Type1,3.173591809
DRE27,11.85,LF,0.222063351,Dairy,1.998575787,OUT010,15,Small,Tier 3,Grocery Store,2.291691121
NCA06,12.6,LF,0.142589751,Household,1.555324237,OUT027,28,Medium,Tier 3,Supermarket Type3,2.767826463
FDL56,14.1,LF,0.126292985,Fruits and Vegetables,1.947530766,OUT018,4,Medium,Tier 3,Supermarket Type2,3.054558439
FDT09,15.15,Regular,0.012260981,Snack Foods,2.119679417,OUT035,9,Small,Tier 2,Supermarket Type1,3.074251491
DRH03,17.25,LF,0.05869048,Dairy,1.961952364,OUT010,15,Small,Tier 3,Grocery Store,1.969471826
NCQ53,17.6,LF,0.018982338,Health and Hygiene,2.374856448,OUT018,4,Medium,Tier 3,Supermarket Type2,3.45275339
NCT18,14.6,LF,0.059405152,Household,2.254542277,OUT046,16,Small,Tier 1,Supermarket Type1,3.558942691
FDL43,10.1,LF,0.027059264,Meat,1.883474052,OUT035,9,Small,Tier 2,Supermarket Type1,3.245769467
FDJ53,10.5,LF,0.071244438,Frozen Foods,2.076311959,OUT035,9,Small,Tier 2,Supermarket Type1,3.122415051
NCQ02,12.6,LF,0.007455054,Household,2.271738478,OUT035,9,Small,Tier 2,Supermarket Type1,3.595812194
NCJ05,18.7,LF,0.046088273,Health and Hygiene,2.186584004,OUT046,16,Small,Tier 1,Supermarket Type1,3.544907109
FDT40,5.99,LF,0.096185556,Frozen Foods,2.104377158,OUT018,4,Medium,Tier 3,Supermarket Type2,3.551535189
FDA48,12.1,LF,0.11487406,Baking Goods,2.345199978,OUT046,16,Small,Tier 1,Supermarket Type1,3.70751586
FDV37,13,Regular,0.083643716,Canned,2.292350454,OUT049,14,Medium,Tier 1,Supermarket Type1,3.410043592
FDX07,19.2,Regular,0.022965292,Fruits and Vegetables,2.259342976,OUT045,11,Small,Tier 2,Supermarket Type1,3.40880452
DRG48,5.78,LF,0.014584584,Soft Drinks,2.165274604,OUT045,11,Small,Tier 2,Supermarket Type1,3.339879165
FDF44,7.17,Regular,0.059716729,Fruits and Vegetables,2.117260687,OUT035,9,Small,Tier 2,Supermarket Type1,3.370872367
FDS24,20.85,Regular,0.062224479,Baking Goods,1.945229214,OUT046,16,Small,Tier 1,Supermarket Type1,3.225949033
NCQ50,18.75,LF,0.034360687,Household,2.333894035,OUT049,14,Medium,Tier 1,Supermarket Type1,3.630878819
FDT25,7.5,LF,0.050708743,Canned,2.091340499,OUT013,26,High,Tier 3,Supermarket Type1,3.503134962
FDO03,10.4,Regular,0.036957777,Meat,2.362737246,OUT045,11,Small,Tier 2,Supermarket Type1,3.660932229
FDJ55,12.8,Regular,0.023530953,Meat,2.349356024,OUT046,16,Small,Tier 1,Supermarket Type1,3.255350478
FDM36,11.65,Regular,0.058681957,Baking Goods,2.231577131,OUT013,26,High,Tier 3,Supermarket Type1,2.71376481
FDM21,20.2,LF,0.064728148,Snack Foods,2.411728434,OUT017,6,Small,Tier 2,Supermarket Type1,3.753477437
FDK58,11.35,Regular,0,Snack Foods,2.012843971,OUT035,9,Small,Tier 2,Supermarket Type1,3.327406673
FDD26,8.71,Regular,0.120773451,Canned,2.270893951,OUT010,15,Small,Tier 3,Grocery Store,2.744509841
FDW57,8.31,Regular,0.115911972,Snack Foods,2.248715594,OUT045,11,Small,Tier 2,Supermarket Type1,3.289618113
FDT32,19,Regular,0.10985775,Fruits and Vegetables,2.276051213,OUT010,15,Small,Tier 3,Grocery Store,2.275130226
FDT25,7.5,LF,0.050853901,Canned,2.085316271,OUT045,11,Small,Tier 2,Supermarket Type1,2.565282869
NCB19,6.53,LF,0.090295708,Household,1.927822902,OUT046,16,Small,Tier 1,Supermarket Type1,2.779031541
FDD05,12.6,LF,0.029084548,Frozen Foods,2.086394715,OUT019,28,Small,Tier 1,Grocery Store,2.55814362
NCE54,12.6,LF,0.026769592,Household,1.886690342,OUT027,28,Medium,Tier 3,Supermarket Type3,3.367783928
FDO39,6.99,Regular,0.137580452,Meat,2.262120615,OUT049,14,Medium,Tier 1,Supermarket Type1,3.606675554
NCV06,11.3,LF,0.066816565,Household,2.283861379,OUT045,11,Small,Tier 2,Supermarket Type1,3.13233482
DRB13,6.12,Regular,0.01179078,Soft Drinks,2.276583573,OUT010,15,Small,Tier 3,Grocery Store,2.977158655
FDX51,9.5,Regular,0.036921781,Meat,2.288350296,OUT010,15,Small,Tier 3,Grocery Store,2.893751113
FDC38,15.7,LF,0.122742389,Canned,2.128057256,OUT045,11,Small,Tier 2,Supermarket Type1,3.076439377
FDD04,16,LF,0.089971292,Dairy,2.15598972,OUT046,16,Small,Tier 1,Supermarket Type1,3.23090464
FDC05,13.1,Regular,0.099186992,Frozen Foods,2.298365695,OUT018,4,Medium,Tier 3,Supermarket Type2,3.498755485
DRJ59,12.6,LF,0,Hard Drinks,1.591247195,OUT027,28,Medium,Tier 3,Supermarket Type3,3.018135549
FDL22,16.85,LF,0.036596012,Snack Foods,1.957362059,OUT017,6,Small,Tier 2,Supermarket Type1,2.801980739
DRH13,12.6,LF,0.041821227,Soft Drinks,2.03192527,OUT019,28,Small,Tier 1,Grocery Store,2.328493769
FDV22,14.85,Regular,0.016635488,Snack Foods,2.197454241,OUT010,15,Small,Tier 3,Grocery Store,2.495441649
FDP07,18.2,LF,0.090084098,Fruits and Vegetables,2.294931135,OUT045,11,Small,Tier 2,Supermarket Type1,3.497285789
FDK27,11,LF,0.008960445,Meat,2.076187347,OUT049,14,Medium,Tier 1,Supermarket Type1,3.229543214
FDP31,21.1,Regular,0.162418495,Fruits and Vegetables,1.812357104,OUT017,6,Small,Tier 2,Supermarket Type1,2.805615024
NCI54,15.2,LF,0.056237906,Household,2.044505266,OUT010,15,Small,Tier 3,Grocery Store,2.038187639
DRK35,12.6,LF,0.071498575,Hard Drinks,1.576923859,OUT027,28,Medium,Tier 3,Supermarket Type3,2.901437941
NCO07,9.06,LF,0.009791467,Others,2.328901259,OUT049,14,Medium,Tier 1,Supermarket Type1,3.67091645
FDN31,11.5,LF,0.072820885,Fruits and Vegetables,2.281608256,OUT013,26,High,Tier 3,Supermarket Type1,3.482308633
NCO02,11.15,LF,0.073354286,Others,1.824868773,OUT035,9,Small,Tier 2,Supermarket Type1,3.375281486
FDQ26,13.5,Regular,0.068010049,Dairy,1.757822521,OUT045,11,Small,Tier 2,Supermarket Type1,2.88667715
FDQ07,15.1,Regular,0.087406863,Fruits and Vegetables,2.34605082,OUT046,16,Small,Tier 1,Supermarket Type1,2.821603129
FDB49,8.3,Regular,0.030198228,Baking Goods,1.992281281,OUT049,14,Medium,Tier 1,Supermarket Type1,3.336028187
FDY44,14.15,Regular,0.024442501,Fruits and Vegetables,2.293165807,OUT049,14,Medium,Tier 1,Supermarket Type1,3.439293842
