Item_Identifier,Item_type_combined,Item_Weight,Item_Fat_Content,Item_Visibility_avg,Item_MRP,Outlet_Identifier,Years of Operation,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDQ16,Food,19.7,Low Fat,0.632733101,109.2912,OUT035,9,Small,Tier 2,Supermarket Type1,2402.2064
FDZ52,Food,12.79,Low Fat,1.510018365,109.1886,OUT027,28,Medium,Tier 3,Supermarket Type3,4225.1668
FDL16,Food,12.79,Low Fat,4.471975465,47.106,OUT019,28,Small,Tier 1,Grocery Store,139.818
NCX18,Non-Consumable,14.15,Non-Edible,0.133880725,196.811,OUT018,4,Medium,Tier 3,Supermarket Type2,4517.453
FDM34,Food,19,Low Fat,1.026830484,130.8626,OUT018,4,Medium,Tier 3,Supermarket Type2,1573.9512
FDG60,Food,12.79,Low Fat,0.915894432,234.5616,OUT027,28,Medium,Tier 3,Supermarket Type3,6796.4864
NCA06,Non-Consumable,20.5,Non-Edible,1,37.119,OUT018,4,Medium,Tier 3,Supermarket Type2,842.237
DRD12,Drinks,6.96,Low Fat,1.170436803,89.9146,OUT046,16,Small,Tier 1,Supermarket Type1,1277.0044
FDP04,Food,15.35,Low Fat,0.210287406,62.5168,OUT018,4,Medium,Tier 3,Supermarket Type2,447.4176
NCH30,Non-Consumable,17.1,Non-Edible,1.020279115,114.586,OUT045,11,Medium,Tier 2,Supermarket Type1,1584.604
FDS04,Food,10.195,Regular,2.228266572,142.2838,OUT045,11,Medium,Tier 2,Supermarket Type1,1685.8056
FDQ13,Food,12.79,Low Fat,0.282506393,82.9908,OUT019,28,Small,Tier 1,Grocery Store,503.3448
FDU59,Food,5.78,Low Fat,1.463715131,162.8552,OUT049,14,Medium,Tier 1,Supermarket Type1,3574.0144
DRG11,Drinks,6.385,Low Fat,1.273764593,108.2596,OUT045,11,Medium,Tier 2,Supermarket Type1,1186.4556
FDA36,Food,12.79,Low Fat,0.085499717,184.9924,OUT027,28,Medium,Tier 3,Supermarket Type3,3146.5708
FDA15,Food,9.3,Low Fat,0.242891353,248.5092,OUT035,9,Small,Tier 2,Supermarket Type1,6474.2392
FDZ03,Food,13.65,Regular,1.999502371,188.024,OUT010,15,Medium,Tier 3,Grocery Store,745.696
FDJ16,Food,9.195,Low Fat,1.741608511,59.0246,OUT035,9,Small,Tier 2,Supermarket Type1,1853.5872
FDZ12,Food,9.17,Low Fat,1.563829789,141.747,OUT049,14,Medium,Tier 1,Supermarket Type1,3006.087
FDH09,Food,12.6,Low Fat,0.851992911,53.2982,OUT045,11,Medium,Tier 2,Supermarket Type1,736.3748
FDT13,Food,14.85,Low Fat,0.283182756,188.7214,OUT017,6,Medium,Tier 2,Supermarket Type1,3956.8494
FDU20,Food,19.35,Regular,0.327187467,120.5098,OUT017,6,Medium,Tier 2,Supermarket Type1,1807.647
DRH25,Drinks,18.7,Low Fat,1,52.2324,OUT035,9,Small,Tier 2,Supermarket Type1,467.3916
FDK26,Food,5.46,Regular,0.488874934,187.624,OUT045,11,Medium,Tier 2,Supermarket Type1,3542.056
FDU32,Food,8.785,Low Fat,0.393656098,120.9414,OUT035,9,Small,Tier 2,Supermarket Type1,1949.4624
FDI22,Food,12.6,Low Fat,1.461766343,210.8612,OUT045,11,Medium,Tier 2,Supermarket Type1,3344.9792
NCB54,Non-Consumable,8.76,Non-Edible,0.76200888,127.3336,OUT018,4,Medium,Tier 3,Supermarket Type2,2684.5056
FDX46,Food,12.3,Regular,0.882974471,58.7562,OUT045,11,Medium,Tier 2,Supermarket Type1,592.562
NCC07,Non-Consumable,19.6,Non-Edible,0.362853802,103.1964,OUT013,26,High,Tier 3,Supermarket Type1,736.3748
FDQ34,Food,12.79,Low Fat,4.307110011,105.5622,OUT019,28,Small,Tier 1,Grocery Store,211.7244
FDM16,Food,8.155,Regular,0.510851688,76.2354,OUT018,4,Medium,Tier 3,Supermarket Type2,1279.0018
FDJ55,Food,12.79,Regular,0.355057118,223.8404,OUT027,28,Medium,Tier 3,Supermarket Type3,7201.2928
DRI01,Drinks,7.97,Low Fat,0.525342965,171.2422,OUT017,6,Medium,Tier 2,Supermarket Type1,3103.9596
FDD50,Food,18.85,Low Fat,2.156379291,167.6132,OUT018,4,Medium,Tier 3,Supermarket Type2,1522.0188
FDJ08,Food,11.1,Low Fat,1.681453761,191.5846,OUT045,11,Medium,Tier 2,Supermarket Type1,2101.9306
NCK18,Non-Consumable,9.6,Non-Edible,0.101716971,164.6184,OUT049,14,Medium,Tier 1,Supermarket Type1,2972.1312
FDQ14,Food,9.27,Low Fat,1.56808033,148.105,OUT010,15,Medium,Tier 3,Grocery Store,149.805
FDS51,Food,13.35,Low Fat,0.487932336,61.2194,OUT046,16,Small,Tier 1,Supermarket Type1,433.4358
FDA04,Food,11.3,Regular,1.011593113,260.8962,OUT035,9,Small,Tier 2,Supermarket Type1,4920.9278
FDP10,Food,19,Low Fat,1.953134788,107.6622,OUT017,6,Medium,Tier 2,Supermarket Type1,1164.4842
FDT36,Food,12.3,Low Fat,1.690607416,35.6874,OUT045,11,Medium,Tier 2,Supermarket Type1,846.8976
FDH38,Food,6.425,Low Fat,0.159163465,118.3808,OUT017,6,Medium,Tier 2,Supermarket Type1,2812.3392
FDC16,Food,11.5,Regular,0.313157429,84.954,OUT018,4,Medium,Tier 3,Supermarket Type2,865.54
FDF17,Food,5.19,Low Fat,0.647238085,195.911,OUT049,14,Medium,Tier 1,Supermarket Type1,2946.165
FDU23,Food,12.15,Low Fat,0.329105415,163.5184,OUT013,26,High,Tier 3,Supermarket Type1,3137.2496
FDB34,Food,15.25,Low Fat,0.40409493,86.6198,OUT049,14,Medium,Tier 1,Supermarket Type1,1657.1762
FDW26,Food,11.8,Regular,1.621889115,221.6772,OUT013,26,High,Tier 3,Supermarket Type1,3113.2808
FDP45,Food,15.7,Regular,0.46528671,253.4724,OUT045,11,Medium,Tier 2,Supermarket Type1,1510.0344
FDD38,Food,16.75,Regular,0.12420597,103.5674,OUT046,16,Small,Tier 1,Supermarket Type1,1629.8784
FDM60,Food,10.8,Regular,0.731100979,42.2138,OUT049,14,Medium,Tier 1,Supermarket Type1,690.4346
FDW26,Food,11.8,Regular,1.622932998,220.3772,OUT035,9,Small,Tier 2,Supermarket Type1,4447.544
FDV51,Food,12.79,Low Fat,0.490977408,166.1842,OUT027,28,Medium,Tier 3,Supermarket Type3,5470.8786
FDT33,Food,7.81,Regular,0.516179955,168.7158,OUT049,14,Medium,Tier 1,Supermarket Type1,2673.8528
FDQ40,Food,11.1,Regular,0.546262402,177.2712,OUT046,16,Small,Tier 1,Supermarket Type1,3339.6528
FDX40,Food,12.85,Low Fat,1,38.3164,OUT035,9,Small,Tier 2,Supermarket Type1,502.0132
FDU31,Food,10.5,Regular,0.378851809,216.7508,OUT035,9,Small,Tier 2,Supermarket Type1,3038.7112
DRJ01,Drinks,6.135,Low Fat,1.744163112,161.0236,OUT046,16,Small,Tier 1,Supermarket Type1,1288.9888
FDP11,Food,12.79,Low Fat,1.042653926,216.9166,OUT027,28,Medium,Tier 3,Supermarket Type3,4354.332
NCN43,Non-Consumable,12.79,Non-Edible,0.101997338,125.173,OUT027,28,Medium,Tier 3,Supermarket Type3,3202.498
FDA15,Food,9.3,Low Fat,0.243926928,249.6092,OUT018,4,Medium,Tier 3,Supermarket Type2,5976.2208
FDO04,Food,16.6,Low Fat,1,54.6614,OUT017,6,Medium,Tier 2,Supermarket Type1,884.1824
NCF43,Non-Consumable,8.51,Non-Edible,0.787473796,142.947,OUT035,9,Small,Tier 2,Supermarket Type1,3006.087
NCI17,Non-Consumable,8.645,Non-Edible,2.186926768,95.441,OUT017,6,Medium,Tier 2,Supermarket Type1,3282.394
FDY47,Food,8.6,Regular,0.825425706,128.831,OUT013,26,High,Tier 3,Supermarket Type1,1038.648
FDF20,Food,12.79,Low Fat,0.501257096,196.4768,OUT027,28,Medium,Tier 3,Supermarket Type3,6306.4576
NCS53,Non-Consumable,14.5,Non-Edible,1.361249473,158.4604,OUT046,16,Small,Tier 1,Supermarket Type1,2693.8268
FDK38,Food,6.65,Low Fat,0.80925729,149.5734,OUT049,14,Medium,Tier 1,Supermarket Type1,2524.0478
FDW43,Food,20.1,Regular,0.339736627,225.9036,OUT013,26,High,Tier 3,Supermarket Type1,3643.2576
FDV57,Food,15.25,Regular,0.999147511,179.266,OUT046,16,Small,Tier 1,Supermarket Type1,1438.128
FDX26,Food,17.7,Low Fat,1.338915524,182.3292,OUT017,6,Medium,Tier 2,Supermarket Type1,4195.8716
FDR04,Food,7.075,Low Fat,0.34216867,97.3068,OUT046,16,Small,Tier 1,Supermarket Type1,1263.6884
FDP19,Food,11.5,Low Fat,1,129.3652,OUT013,26,High,Tier 3,Supermarket Type1,2066.6432
FDT07,Food,5.82,Regular,1.178971182,254.533,OUT017,6,Medium,Tier 2,Supermarket Type1,1281.665
DRB24,Drinks,8.785,Low Fat,0.312484447,155.1656,OUT049,14,Medium,Tier 1,Supermarket Type1,4016.1056
FDB36,Food,5.465,Regular,1,129.1626,OUT046,16,Small,Tier 1,Supermarket Type1,3672.5528
NCE07,Non-Consumable,12.79,Non-Edible,0.198118229,140.9154,OUT027,28,Medium,Tier 3,Supermarket Type3,2127.231
FDI16,Food,12.79,Regular,2.048711245,52.564,OUT027,28,Medium,Tier 3,Supermarket Type3,2290.352
FDP45,Food,15.7,Regular,0.464345006,252.2724,OUT046,16,Small,Tier 1,Supermarket Type1,1258.362
NCC43,Non-Consumable,7.39,Non-Edible,1.40563723,251.9066,OUT013,26,High,Tier 3,Supermarket Type1,4267.1122
FDQ23,Food,12.79,Low Fat,0.651095511,102.9332,OUT019,28,Small,Tier 1,Grocery Store,102.5332
FDW24,Food,6.8,Low Fat,0.568436387,48.6034,OUT035,9,Small,Tier 2,Supermarket Type1,291.6204
FDW09,Food,12.79,Regular,0.3911176,80.2302,OUT027,28,Medium,Tier 3,Supermarket Type3,2139.2154
FDN10,Food,11.5,Low Fat,0.699213634,120.2124,OUT035,9,Small,Tier 2,Supermarket Type1,1540.6612
FDE23,Food,17.6,Regular,0.806197237,45.606,OUT035,9,Small,Tier 2,Supermarket Type1,1724.422
FDV16,Food,7.75,Regular,1.257187597,34.9558,OUT035,9,Small,Tier 2,Supermarket Type1,645.1602
FDF12,Food,12.79,Low Fat,1.243748846,148.6076,OUT027,28,Medium,Tier 3,Supermarket Type3,3990.8052
FDN21,Food,18.6,Low Fat,1.167124691,161.8236,OUT049,14,Medium,Tier 1,Supermarket Type1,1611.236
DRC25,Drinks,5.73,Low Fat,0.687944542,86.0882,OUT046,16,Small,Tier 1,Supermarket Type1,1116.5466
NCP18,Non-Consumable,12.15,Non-Edible,0.4342912,149.0708,OUT049,14,Medium,Tier 1,Supermarket Type1,1203.7664
FDW60,Food,5.44,Regular,0.258484191,174.637,OUT013,26,High,Tier 3,Supermarket Type1,2999.429
FDY04,Food,17.7,Regular,0.645349415,165.021,OUT045,11,Medium,Tier 2,Supermarket Type1,3425.541
NCJ31,Non-Consumable,12.79,Non-Edible,2.756051587,240.6196,OUT027,28,Medium,Tier 3,Supermarket Type3,4579.3724
DRN47,Drinks,12.1,Low Fat,0.254920945,180.666,OUT013,26,High,Tier 3,Supermarket Type1,4134.618
FDU13,Food,8.355,Low Fat,1,145.6418,OUT013,26,High,Tier 3,Supermarket Type1,3384.2614
FDT39,Food,6.26,Regular,0.250434735,151.1366,OUT010,15,Medium,Tier 3,Grocery Store,453.4098
NCQ18,Non-Consumable,15.75,Non-Edible,2.046318548,101.37,OUT013,26,High,Tier 3,Supermarket Type1,2097.27
FDV25,Food,5.905,Low Fat,0.691619853,221.5456,OUT013,26,High,Tier 3,Supermarket Type1,6852.4136
NCE30,Non-Consumable,16,Non-Edible,1.503136577,210.3902,OUT046,16,Small,Tier 1,Supermarket Type1,1486.7314
NCN42,Non-Consumable,20.25,Non-Edible,0.215648484,148.9418,OUT046,16,Small,Tier 1,Supermarket Type1,3531.4032
FDW25,Food,5.175,Low Fat,0.567938122,83.4224,OUT049,14,Medium,Tier 1,Supermarket Type1,1448.7808
FDS49,Food,9,Low Fat,1.202064401,77.2644,OUT013,26,High,Tier 3,Supermarket Type1,1335.5948
FDN34,Food,15.6,Regular,0.694972903,168.2132,OUT049,14,Medium,Tier 1,Supermarket Type1,2367.5848
FDS45,Food,5.175,Regular,0.449050184,107.7622,OUT018,4,Medium,Tier 3,Supermarket Type2,2011.3818
NCL53,Non-Consumable,12.79,Non-Edible,1,175.4028,OUT027,28,Medium,Tier 3,Supermarket Type3,6729.9064
FDT38,Food,18.7,Low Fat,0.873759984,83.3566,OUT049,14,Medium,Tier 1,Supermarket Type1,1860.2452
NCX06,Non-Consumable,17.6,Non-Edible,0.237852673,182.6976,OUT046,16,Small,Tier 1,Supermarket Type1,3440.8544
NCY17,Non-Consumable,18.2,Non-Edible,2.470864989,43.5086,OUT013,26,High,Tier 3,Supermarket Type1,1070.6064
NCO18,Non-Consumable,13.15,Non-Edible,0.373771492,179.5686,OUT046,16,Small,Tier 1,Supermarket Type1,1422.1488
FDY47,Food,8.6,Regular,1.382744109,130.231,OUT010,15,Medium,Tier 3,Grocery Store,129.831
FDF57,Food,12.79,Regular,0.88764278,168.6448,OUT027,28,Medium,Tier 3,Supermarket Type3,3408.896
FDS26,Food,20.35,Low Fat,1.358673903,262.1594,OUT049,14,Medium,Tier 1,Supermarket Type1,3139.9128
NCL17,Non-Consumable,7.39,Non-Edible,1.027506286,140.6812,OUT035,9,Small,Tier 2,Supermarket Type1,3704.5112
NCB18,Non-Consumable,19.6,Non-Edible,0.627045077,88.7514,OUT049,14,Medium,Tier 1,Supermarket Type1,2656.542
FDA50,Food,16.25,Low Fat,2.212390562,95.441,OUT010,15,Medium,Tier 3,Grocery Store,193.082
DRE13,Drinks,6.28,Low Fat,0.420727921,86.5198,OUT049,14,Medium,Tier 1,Supermarket Type1,1395.5168
DRE60,Drinks,9.395,Low Fat,2.413876534,226.072,OUT013,26,High,Tier 3,Supermarket Type1,3621.952
FDB20,Food,7.72,Low Fat,0.792607848,79.1986,OUT017,6,Medium,Tier 2,Supermarket Type1,778.986
NCS18,Non-Consumable,12.65,Non-Edible,0.639487706,106.4938,OUT013,26,High,Tier 3,Supermarket Type1,2465.4574
FDH19,Food,12.79,Low Fat,0.878410933,175.1738,OUT019,28,Small,Tier 1,Grocery Store,347.5476
FDS47,Food,16.75,Low Fat,1,88.7856,OUT045,11,Medium,Tier 2,Supermarket Type1,966.7416
FDC09,Food,15.5,Regular,0.398468662,102.3332,OUT013,26,High,Tier 3,Supermarket Type1,922.7988
DRG23,Drinks,8.88,Low Fat,1.317853865,153.3682,OUT049,14,Medium,Tier 1,Supermarket Type1,1219.7456
FDU34,Food,18.25,Low Fat,1.142445034,126.3046,OUT045,11,Medium,Tier 2,Supermarket Type1,747.0276
FDZ40,Food,8.935,Low Fat,0.612711686,52.9298,OUT017,6,Medium,Tier 2,Supermarket Type1,539.298
NCE30,Non-Consumable,16,Non-Edible,1.502852344,210.7902,OUT035,9,Small,Tier 2,Supermarket Type1,4460.1942
FDA44,Food,19.7,Low Fat,0.810269438,55.093,OUT018,4,Medium,Tier 3,Supermarket Type2,1018.674
FDB32,Food,20.6,Low Fat,0.355534733,93.9778,OUT035,9,Small,Tier 2,Supermarket Type1,2816.334
NCO06,Non-Consumable,19.25,Non-Edible,1.63799667,32.4558,OUT046,16,Small,Tier 1,Supermarket Type1,101.8674
FDY44,Food,14.15,Regular,0.37003077,198.311,OUT046,16,Small,Tier 1,Supermarket Type1,2553.343
FDG10,Food,6.63,Regular,0.166201986,58.2588,OUT045,11,Medium,Tier 2,Supermarket Type1,343.5528
FDF38,Food,11.8,Regular,0.399649643,39.6138,OUT046,16,Small,Tier 1,Supermarket Type1,365.5242
FDW59,Food,12.79,Low Fat,0.549952405,85.9566,OUT019,28,Small,Tier 1,Grocery Store,169.1132
FDP34,Food,12.85,Low Fat,2.080698463,155.563,OUT046,16,Small,Tier 1,Supermarket Type1,4224.501
FDZ26,Food,11.6,Regular,2.195995787,239.8222,OUT017,6,Medium,Tier 2,Supermarket Type1,4063.3774
FDH17,Food,12.79,Regular,0.442101895,97.0726,OUT019,28,Small,Tier 1,Grocery Store,293.6178
FDU44,Food,12.15,Regular,0.890882917,161.0552,OUT017,6,Medium,Tier 2,Supermarket Type1,3411.5592
FDS23,Food,4.635,Low Fat,2.139533102,128.2994,OUT049,14,Medium,Tier 1,Supermarket Type1,2698.4874
DRE03,Drinks,19.6,Low Fat,0.368833459,48.5718,OUT018,4,Medium,Tier 3,Supermarket Type2,425.4462
FDY57,Food,20.2,Regular,1.842229289,95.0752,OUT045,11,Medium,Tier 2,Supermarket Type1,2588.6304
FDH50,Food,12.79,Regular,2.435889465,185.2266,OUT027,28,Medium,Tier 3,Supermarket Type3,5901.6512
DRY23,Drinks,9.395,Regular,1.654158794,44.6112,OUT046,16,Small,Tier 1,Supermarket Type1,511.3344
FDT27,Food,11.395,Regular,1.05490645,232.8616,OUT035,9,Small,Tier 2,Supermarket Type1,2812.3392
FDB38,Food,19.5,Regular,0.416329668,158.792,OUT018,4,Medium,Tier 3,Supermarket Type2,2556.672
FDY16,Food,18.35,Regular,1.398375535,184.4266,OUT046,16,Small,Tier 1,Supermarket Type1,3504.1054
FDG33,Food,5.365,Regular,3.559114218,173.4764,OUT010,15,Medium,Tier 3,Grocery Store,171.7764
FDN04,Food,11.8,Regular,0.214463166,180.4344,OUT018,4,Medium,Tier 3,Supermarket Type2,535.3032
FDJ48,Food,11.3,Low Fat,0.860525303,247.5118,OUT017,6,Medium,Tier 2,Supermarket Type1,2470.118
NCC07,Non-Consumable,19.6,Non-Edible,0.3638925,104.0964,OUT045,11,Medium,Tier 2,Supermarket Type1,525.982
FDI35,Food,14,Low Fat,0.627045077,182.0634,OUT049,14,Medium,Tier 1,Supermarket Type1,4544.085
DRH49,Drinks,19.7,Low Fat,0.373837069,84.3592,OUT046,16,Small,Tier 1,Supermarket Type1,743.0328
FDY51,Food,12.5,Low Fat,1.230195695,220.0798,OUT046,16,Small,Tier 1,Supermarket Type1,4848.3556
NCG07,Non-Consumable,12.3,Non-Edible,0.79766956,191.253,OUT045,11,Medium,Tier 2,Supermarket Type1,2656.542
FDA22,Food,7.435,Low Fat,1.280497395,165.2158,OUT046,16,Small,Tier 1,Supermarket Type1,2840.9686
FDA33,Food,6.48,Low Fat,0.514002564,146.9076,OUT046,16,Small,Tier 1,Supermarket Type1,2956.152
FDV03,Food,17.6,Low Fat,0.880067921,154.6314,OUT013,26,High,Tier 3,Supermarket Type1,1861.5768
FDP27,Food,8.155,Low Fat,1.814827032,188.453,OUT045,11,Medium,Tier 2,Supermarket Type1,4364.319
FDZ20,Food,16.1,Low Fat,0.520983346,253.4356,OUT049,14,Medium,Tier 1,Supermarket Type1,2797.6916
FDR56,Food,15.5,Regular,1.530223639,199.0768,OUT049,14,Medium,Tier 1,Supermarket Type1,2759.0752
NCV41,Non-Consumable,12.79,Non-Edible,0.257097062,109.3228,OUT027,28,Medium,Tier 3,Supermarket Type3,2431.5016
FDU11,Food,4.785,Low Fat,1.403673113,121.0098,OUT035,9,Small,Tier 2,Supermarket Type1,2530.7058
NCB30,Non-Consumable,14.6,Non-Edible,0.390324032,197.1084,OUT049,14,Medium,Tier 1,Supermarket Type1,4761.8016
FDX23,Food,6.445,Low Fat,0.452031196,95.4436,OUT018,4,Medium,Tier 3,Supermarket Type2,1229.0668
FDY24,Food,4.88,Regular,2.022388063,55.0298,OUT013,26,High,Tier 3,Supermarket Type1,647.1576
FDZ37,Food,8.1,Regular,1,88.5198,OUT013,26,High,Tier 3,Supermarket Type1,261.6594
FDL10,Food,8.395,Low Fat,0.598681951,97.9042,OUT035,9,Small,Tier 2,Supermarket Type1,1686.4714
NCE18,Non-Consumable,10,Non-Edible,0.3248588,250.175,OUT046,16,Small,Tier 1,Supermarket Type1,2996.1
FDY60,Food,12.79,Regular,0.397909535,143.8128,OUT027,28,Medium,Tier 3,Supermarket Type3,4458.1968
FDT24,Food,12.35,Regular,2.815721202,77.1328,OUT013,26,High,Tier 3,Supermarket Type1,2239.7512
NCV06,Non-Consumable,11.3,Non-Edible,1.010855403,192.4478,OUT035,9,Small,Tier 2,Supermarket Type1,2712.4692
FDP51,Food,12.79,Regular,2.263824163,119.6124,OUT019,28,Small,Tier 1,Grocery Store,592.562
FDU49,Food,19.5,Regular,0.465311045,85.754,OUT035,9,Small,Tier 2,Supermarket Type1,2163.85
FDQ16,Food,19.7,Low Fat,0.633836678,110.3912,OUT049,14,Medium,Tier 1,Supermarket Type1,3275.736
FDV16,Food,7.75,Regular,1.256378973,32.6558,OUT013,26,High,Tier 3,Supermarket Type1,679.116
FDL36,Food,15.1,Low Fat,1.158182945,88.483,OUT018,4,Medium,Tier 3,Supermarket Type2,988.713
FDE09,Food,12.79,Low Fat,0.325972127,111.5228,OUT027,28,Medium,Tier 3,Supermarket Type3,1768.3648
NCV54,Non-Consumable,11.1,Non-Edible,0.50191487,116.6124,OUT035,9,Small,Tier 2,Supermarket Type1,1540.6612
FDH27,Food,7.075,Low Fat,0.889681572,142.0128,OUT017,6,Medium,Tier 2,Supermarket Type1,2588.6304
FDF33,Food,7.97,Low Fat,0.326467148,108.4596,OUT035,9,Small,Tier 2,Supermarket Type1,3020.0688
NCP18,Non-Consumable,12.15,Non-Edible,0.433535053,151.0708,OUT035,9,Small,Tier 2,Supermarket Type1,2858.9452
FDZ45,Food,14.1,Low Fat,1.018128531,200.4084,OUT018,4,Medium,Tier 3,Supermarket Type2,3968.168
FDU25,Food,12.79,Low Fat,0.402591915,56.2246,OUT027,28,Medium,Tier 3,Supermarket Type3,1737.738
FDQ40,Food,11.1,Regular,0.914331269,175.8712,OUT010,15,Medium,Tier 3,Grocery Store,175.7712
DRD25,Drinks,12.79,Low Fat,2.096498025,111.686,OUT019,28,Small,Tier 1,Grocery Store,452.744
FDJ57,Food,7.42,Regular,0.547510795,186.5582,OUT010,15,Medium,Tier 3,Grocery Store,185.7582
FDT43,Food,16.35,Low Fat,0.312039872,52.1324,OUT049,14,Medium,Tier 1,Supermarket Type1,934.7832
FDH44,Food,19.1,Regular,0.392892885,146.8418,OUT049,14,Medium,Tier 1,Supermarket Type1,1765.7016
FDR31,Food,12.79,Regular,1.305143847,143.8102,OUT019,28,Small,Tier 1,Grocery Store,291.6204
FDQ27,Food,5.19,Regular,0.673707568,102.899,OUT018,4,Medium,Tier 3,Supermarket Type2,1651.184
DRK13,Drinks,11.8,Low Fat,1.748927551,200.2084,OUT049,14,Medium,Tier 1,Supermarket Type1,4563.3932
FDB04,Food,11.35,Regular,0.958660211,87.9856,OUT046,16,Small,Tier 1,Supermarket Type1,1494.0552
NCI54,Non-Consumable,15.2,Non-Edible,0.510474009,109.6912,OUT045,11,Medium,Tier 2,Supermarket Type1,1419.4856
FDP19,Food,11.5,Low Fat,2.636249116,128.8652,OUT045,11,Medium,Tier 2,Supermarket Type1,1291.652
FDB37,Food,20.25,Regular,0.34777136,240.8538,OUT035,9,Small,Tier 2,Supermarket Type1,7931.6754
NCR05,Non-Consumable,10.1,Non-Edible,0.827643232,196.5084,OUT013,26,High,Tier 3,Supermarket Type1,595.2252
FDZ15,Food,13.1,Low Fat,0.317091577,120.1782,OUT045,11,Medium,Tier 2,Supermarket Type1,2026.0294
NCQ29,Non-Consumable,12,Non-Edible,1.580375156,259.5278,OUT046,16,Small,Tier 1,Supermarket Type1,2603.278
FDL04,Food,19,Low Fat,1.697023567,106.5622,OUT046,16,Small,Tier 1,Supermarket Type1,2117.244
DRH49,Drinks,19.7,Low Fat,0.375359932,83.8592,OUT018,4,Medium,Tier 3,Supermarket Type2,247.6776
FDT07,Food,12.79,Regular,2.052615932,256.133,OUT019,28,Small,Tier 1,Grocery Store,256.333
NCI55,Non-Consumable,18.6,Non-Edible,0.192247029,120.9414,OUT045,11,Medium,Tier 2,Supermarket Type1,2680.5108
FDP19,Food,11.5,Low Fat,2.63041608,129.0652,OUT035,9,Small,Tier 2,Supermarket Type1,3487.4604
FDV45,Food,16.75,Low Fat,0.684410832,187.9556,OUT045,11,Medium,Tier 2,Supermarket Type1,2816.334
FDG26,Food,18.85,Low Fat,0.649306822,254.433,OUT018,4,Medium,Tier 3,Supermarket Type2,2050.664
DRJ01,Drinks,6.135,Low Fat,1.743833315,161.5236,OUT035,9,Small,Tier 2,Supermarket Type1,1288.9888
FDD14,Food,20.7,Low Fat,2.574210609,184.4266,OUT035,9,Small,Tier 2,Supermarket Type1,3688.532
DRH37,Drinks,17.6,Low Fat,0.630883004,165.4526,OUT035,9,Small,Tier 2,Supermarket Type1,1644.526
NCD18,Non-Consumable,16,Non-Edible,1.100918672,228.3668,OUT013,26,High,Tier 3,Supermarket Type1,5298.4364
NCE55,Non-Consumable,8.92,Non-Edible,1.974018275,176.837,OUT045,11,Medium,Tier 2,Supermarket Type1,2117.244
NCQ43,Non-Consumable,17.75,Non-Edible,1.697141394,108.8912,OUT017,6,Medium,Tier 2,Supermarket Type1,327.5736
FDC41,Food,15.6,Low Fat,1.772681076,78.167,OUT046,16,Small,Tier 1,Supermarket Type1,1837.608
DRL01,Drinks,12.79,Regular,2.048719857,232.9958,OUT019,28,Small,Tier 1,Grocery Store,934.7832
FDX48,Food,17.75,Regular,0.961545002,154.6656,OUT010,15,Medium,Tier 3,Grocery Store,308.9312
DRC25,Drinks,5.73,Low Fat,1.151478133,85.5882,OUT010,15,Medium,Tier 3,Grocery Store,171.7764
DRF48,Drinks,5.73,Low Fat,0.787025505,188.1898,OUT045,11,Medium,Tier 2,Supermarket Type1,1496.7184
FDT34,Food,9.3,Low Fat,2.654330932,106.7964,OUT018,4,Medium,Tier 3,Supermarket Type2,525.982
NCB43,Non-Consumable,20.2,Non-Edible,1.514620369,187.6898,OUT035,9,Small,Tier 2,Supermarket Type1,3928.8858
FDG44,Food,12.79,Low Fat,2.71289797,55.7298,OUT019,28,Small,Tier 1,Grocery Store,161.7894
FDD35,Food,12.15,Low Fat,1,119.244,OUT035,9,Small,Tier 2,Supermarket Type1,2636.568
FDC02,Food,21.35,Low Fat,1.042643009,260.4278,OUT013,26,High,Tier 3,Supermarket Type1,3644.5892
FDU51,Food,20.2,Regular,1.469336562,175.5028,OUT018,4,Medium,Tier 3,Supermarket Type2,6729.9064
NCC19,Non-Consumable,6.57,Non-Edible,1.468660684,193.982,OUT035,9,Small,Tier 2,Supermarket Type1,2316.984
FDJ60,Food,19.35,Regular,0.948078701,166.9184,OUT046,16,Small,Tier 1,Supermarket Type1,3302.368
NCI29,Non-Consumable,8.6,Non-Edible,0.494619711,143.2154,OUT046,16,Small,Tier 1,Supermarket Type1,2127.231
NCF43,Non-Consumable,8.51,Non-Edible,0.786967282,142.247,OUT013,26,High,Tier 3,Supermarket Type1,2862.94
FDY08,Food,12.79,Regular,2.581343531,141.5838,OUT027,28,Medium,Tier 3,Supermarket Type3,3231.1274
FDD17,Food,7.5,Low Fat,0.82802922,237.1906,OUT010,15,Medium,Tier 3,Grocery Store,237.6906
FDK41,Food,14.3,Low Fat,1.933468233,86.0224,OUT035,9,Small,Tier 2,Supermarket Type1,1022.6688
DRN59,Drinks,15,Low Fat,0.9745109,45.506,OUT045,11,Medium,Tier 2,Supermarket Type1,466.06
FDR60,Food,14.3,Low Fat,1.975755836,75.7328,OUT013,26,High,Tier 3,Supermarket Type1,617.8624
DRO47,Drinks,10.195,Low Fat,2.848114697,112.486,OUT010,15,Medium,Tier 3,Grocery Store,113.186
FDF26,Food,6.825,Regular,0.706959449,154.9998,OUT035,9,Small,Tier 2,Supermarket Type1,3075.996
